SEED_RAST	IANT_BiGG	IANT_MNXR	IANT_KEGG	Sum
rxn12512	0	1	0	2
rxn01268	0	1	0	2
rxn01269	0	0	0	0
rxn01000	0	1	0	2
rxn00999	0	0	0	0
rxn00147	1	1	1	3
rxn02508	0	1	0	2
rxn02835	1	1	1	3
rxn02834	0	0	0	0
rxn00427	0	0	0	0
rxn00974	1	1	1	3
rxn03175	1	1	1	3
rxn05165	0	0	0	0
rxn05638	0	0	0	0
rxn10945	0	0	0	0
rxn02181	0	1	1	2
rxn02476	1	1	1	3
rxn02046	0	0	0	0
rxn00420	0	0	0	0
rxn02175	1	1	1	3
rxn05163	0	1	0	1
rxn01649	0	0	0	0
rxn00175	1	1	1	3
rxn01807	0	0	0	0
rxn00124	0	0	0	0
rxn01396	0	0	0	0
rxn00148	1	1	1	3
rxn01530	0	1	1	2
rxn01103	0	0	0	0
rxn00227	0	0	0	0
rxn12640	0	0	0	0
rxn01671	0	0	0	0
rxn01116	1	1	1	3
rxn03841	0	0	0	0
rxn03150	0	1	1	2
rxn14301	0	0	0	0
rxn05359	0	0	0	0
rxn05363	0	0	0	0
rxn05367	0	0	0	0
rxn05371	0	0	0	0
rxn05375	0	0	0	0
rxn05379	0	0	0	0
rxn05384	0	0	0	0
rxn05388	0	0	0	0
rxn05392	0	0	0	0
rxn05396	0	0	0	0
rxn05400	0	0	0	0
rxn05404	0	0	0	0
rxn05409	0	0	0	0
rxn05413	0	0	0	0
rxn05417	0	0	0	0
rxn05421	0	0	0	0
rxn05425	0	0	0	0
rxn05429	0	0	0	0
rxn00379	1	1	1	3
rxn10184	0	0	0	0
rxn00097	1	1	1	3
rxn01973	1	1	1	3
rxn10052	1	1	0	2
rxn03380	0	0	0	0
rxn06591	0	1	1	2
rxn05307	0	0	0	0
rxn00127	1	1	1	3
rxn01739	1	1	1	3
rxn00065	0	1	0	2
rxn00134	0	0	0	0
rxn06672	0	1	1	2
rxn06673	0	1	0	2
rxn05651	0	0	0	0
rxn06937	1	1	1	3
rxn05175	0	1	0	1
rxn01406	1	1	1	3
rxn00206	0	0	0	0
rxn00422	0	0	0	0
rxn00508	0	1	0	2
rxn05318	0	0	0	0
rxn02831	1	1	1	3
rxn10154	0	0	0	0
rxn05654	0	0	0	0
rxn00285	1	1	1	3
rxn05655	0	0	0	0
rxn05153	0	1	0	2
rxn05172	0	1	0	1
rxn01997	1	1	1	3
rxn03181	1	1	1	3
rxn10125	0	1	0	2
rxn03031	1	1	1	3
rxn05200	0	0	0	0
rxn00541	0	0	0	0
rxn01069	1	1	1	3
rxn01143	1	1	1	3
rxn00781	1	1	1	3
rxn00782	0	1	0	2
rxn01146	0	0	0	0
rxn01520	1	1	1	3
rxn00747	1	1	1	3
rxn02004	1	1	1	3
rxn02005	0	0	0	0
rxn00361	0	1	0	2
rxn00478	0	1	0	2
rxn00800	1	1	1	3
rxn00474	1	1	1	3
rxn05663	0	0	0	0
rxn03136	1	1	1	3
rxn05176	0	1	0	2
rxn10163	0	0	0	0
rxn00529	0	0	0	0
rxn02011	1	1	1	3
rxn02008	1	1	1	3
rxn03164	0	1	0	1
rxn12549	0	0	0	0
rxn02264	0	0	0	0
rxn02288	1	1	1	3
rxn03384	1	1	0	2
rxn05199	0	0	0	0
rxn03130	0	0	0	0
rxn05358	0	0	0	0
rxn05383	0	0	0	0
rxn05408	0	0	0	0
rxn05451	0	0	0	0
rxn05452	0	0	0	0
rxn05453	0	0	0	0
rxn05454	0	0	0	0
rxn05455	0	0	0	0
rxn05456	0	0	0	0
rxn05457	0	0	0	0
rxn05459	0	0	0	0
rxn00904	0	0	0	0
rxn02321	0	1	0	1
rxn01522	0	0	0	0
rxn00199	0	1	0	1
rxn01292	0	0	0	0
rxn03287	0	0	0	0
rxn05005	0	0	0	0
rxn10113	0	0	0	0
rxn00783	1	1	1	3
rxn08333	0	0	0	0
rxn02190	0	0	0	0
rxn02213	0	1	0	2
rxn01213	1	1	1	3
rxn03909	0	1	1	2
rxn03884	1	1	1	3
rxn09436	0	1	0	2
rxn01486	1	1	1	3
rxn08546	1	1	0	2
rxn01241	1	1	0	2
rxn06377	1	1	1	3
rxn03893	0	0	0	0
rxn02503	1	1	1	3
rxn08756	0	1	0	1
rxn08792	0	1	0	1
rxn03159	0	1	1	2
rxn05293	0	1	0	2
rxn03035	0	0	0	0
rxn00839	1	1	1	3
rxn10120	1	1	0	3
rxn03903	1	1	0	2
rxn01871	1	1	0	2
rxn09167	1	1	0	3
rxn03084	1	1	1	3
rxn05647	0	0	0	0
rxn03063	0	0	0	0
rxn01740	1	1	1	3
rxn02305	1	1	1	3
rxn09320	0	0	0	0
rxn00461	1	1	1	3
rxn03933	0	0	0	0
rxn03408	0	0	0	0
rxn02286	1	1	1	3
rxn02285	1	0	0	1
rxn03901	0	1	0	1
rxn09345	0	1	1	2
rxn03146	0	0	0	0
rxn03397	0	0	0	0
rxn00675	0	1	0	1
rxn00016	0	1	1	2
rxn01169	0	1	1	2
rxn00933	0	0	0	0
rxn01107	0	0	0	0
rxn04113	0	1	0	1
rxn02465	1	1	1	3
rxn02406	0	0	0	0
rxn00196	0	0	0	0
rxn14294	0	0	0	0
rxn00272	0	0	0	0
rxn05871	0	1	1	2
rxn00141	0	1	0	2
rxn02159	0	1	0	1
rxn02015	0	0	0	0
rxn03137	0	1	0	2
rxn03918	0	0	0	0
rxn00986	0	1	0	1
rxn05049	0	1	1	2
rxn00863	0	1	0	1
rxn04068	0	0	0	0
rxn11567	0	0	0	0
rxn08094	1	1	0	2
rxn03120	0	0	0	0
rxn03273	0	0	0	0
rxn03440	0	0	0	0
rxn03871	0	0	0	0
rxn04139	0	0	0	0
rxn03167	0	0	0	0
rxn02925	0	0	0	0
rxn04723	0	0	0	0
rxn04724	0	0	0	0
rxn04748	0	0	0	0
rxn04750	0	1	0	2
rxn05006	0	1	0	2
rxn07734	0	0	0	0
rxn07875	0	0	0	0
rxn11713	0	0	0	0
rxn11714	0	0	0	0
rxn11717	0	0	0	0
rxn11719	0	0	0	0
rxn11720	0	0	0	0
rxn11721	0	0	0	0
rxn11722	0	0	0	0
rxn11723	0	0	0	0
rxn11727	0	0	0	0
rxn00222	0	1	0	1
rxn00851	1	1	1	3
rxn01702	0	1	0	1
rxn06624	0	0	0	0
rxn00283	1	1	1	3
rxn06488	0	0	0	0
rxn03002	0	0	0	0
rxn11724	0	0	0	0
rxn05024	0	0	0	0
rxn02418	0	1	1	2
rxn02166	0	1	1	2
rxn12635	0	0	0	0
rxn12633	0	0	0	0
rxn12639	0	0	0	0
rxn12641	0	0	0	0
rxn12642	0	0	0	0
rxn12645	0	0	0	0
rxn12646	0	0	0	0
rxn12634	0	0	0	0
rxn12637	0	0	0	0
rxn01345	0	1	0	1
rxn00543	1	1	1	3
rxn00406	0	0	0	0
rxn02345	0	0	0	0
rxn00658	0	0	0	0
rxn01972	0	1	0	2
rxn01854	0	0	0	0
rxn06690	0	0	0	0
rxn07476	0	0	0	0
rxn03142	0	0	0	0
rxn00506	0	0	0	0
rxn00743	0	1	0	1
rxn02796	0	0	0	0
rxn10199	0	0	0	0
rxn01927	0	1	0	2
rxn05338	1	1	1	3
rxn05340	1	1	1	3
rxn05342	1	1	1	3
rxn05336	1	1	1	3
rxn05337	1	1	1	3
rxn05341	1	1	1	3
rxn00927	0	1	1	2
rxn00139	1	1	1	3
rxn00838	1	1	1	3
rxn08083	0	0	0	0
rxn08085	0	0	0	0
rxn01872	1	1	0	2
rxn00763	1	0	0	1
rxn01124	0	1	1	2
rxn10094	0	0	0	0
rxn02916	0	0	0	0
rxn00789	1	1	1	3
rxn00795	0	0	0	0
rxn00058	0	1	0	2
rxn10806	0	0	0	0
rxn00364	1	1	1	3
rxn01219	1	1	1	3
rxn01127	0	1	0	1
rxn08306	1	1	0	2
rxn08308	1	1	0	2
rxn08310	1	1	0	2
rxn08312	1	1	0	2
rxn01509	1	1	0	2
rxn00898	1	1	1	3
rxn08335	0	0	0	0
rxn08352	0	1	0	1
rxn01513	1	1	1	3
rxn05356	0	1	0	2
rxn05355	0	1	0	2
rxn05351	0	1	0	2
rxn05357	0	1	0	2
rxn05352	0	1	0	2
rxn03974	0	0	0	0
rxn02201	1	1	1	3
rxn08528	1	1	0	2
rxn09272	1	0	0	1
rxn03843	0	0	0	0
rxn01675	1	1	1	3
rxn08547	1	1	0	2
rxn08548	1	1	0	2
rxn08549	1	1	0	2
rxn08556	0	0	0	0
rxn08558	0	0	0	0
rxn02374	0	0	0	0
rxn06038	0	0	0	0
rxn00604	1	1	1	3
rxn01977	1	1	0	2
rxn08583	0	0	0	0
rxn00213	1	1	1	3
rxn00239	1	1	1	3
rxn09562	1	1	0	2
rxn08619	0	0	0	0
rxn08620	0	0	0	0
rxn00790	1	1	1	3
rxn00274	0	0	0	0
rxn05581	0	0	0	0
rxn00615	1	1	1	3
rxn01226	0	1	1	2
rxn08669	1	1	0	2
rxn01466	1	1	1	3
rxn00303	1	1	1	3
rxn00915	1	1	0	2
rxn08708	0	0	0	0
rxn08709	0	0	0	0
rxn03891	1	0	0	1
rxn00836	1	1	1	3
rxn10118	0	0	0	0
rxn01299	0	1	1	2
rxn01642	0	0	0	0
rxn02186	1	1	1	3
rxn02405	1	1	1	3
rxn00145	0	0	1	1
rxn08793	0	1	0	1
rxn08798	1	1	0	2
rxn08799	1	1	0	2
rxn08801	1	1	0	2
rxn08802	0	1	0	1
rxn08816	0	1	0	1
rxn08817	1	1	0	2
rxn08818	1	1	0	2
rxn08819	1	1	0	2
rxn08823	0	1	0	1
rxn08841	1	1	0	2
rxn08843	1	1	0	2
rxn00640	0	0	0	0
rxn02228	0	0	0	0
rxn02230	1	1	1	3
rxn03907	0	1	1	2
rxn05618	0	0	0	0
rxn08954	0	0	0	0
rxn01265	1	1	0	2
rxn00237	1	1	1	3
rxn00117	1	1	1	3
rxn00409	1	1	1	3
rxn01512	1	1	1	3
rxn01353	1	1	1	3
rxn01678	1	1	1	3
rxn01673	1	1	1	3
rxn00515	1	1	1	3
rxn00941	0	0	0	0
rxn02402	1	1	1	3
rxn10121	0	1	0	2
rxn01893	0	0	0	0
rxn01362	1	1	1	3
rxn00503	0	1	0	2
rxn00305	0	0	0	0
rxn00704	1	1	1	3
rxn02107	0	0	0	0
rxn09108	1	1	0	2
rxn09109	0	1	0	1
rxn09110	0	1	0	1
rxn09111	1	1	0	2
rxn09112	1	1	0	2
rxn09113	1	1	0	2
rxn09114	1	1	0	2
rxn03971	0	0	0	0
rxn09123	1	1	0	2
rxn09125	1	1	0	2
rxn09129	0	1	0	1
rxn09133	1	1	0	2
rxn09135	1	1	0	2
rxn09144	0	0	0	0
rxn09146	0	0	0	0
rxn09150	0	0	0	0
rxn09164	0	0	0	0
rxn03108	1	1	1	3
rxn00242	1	1	1	3
rxn02304	0	0	0	0
rxn02895	1	1	1	3
rxn00770	1	1	0	2
rxn09198	0	1	0	1
rxn09200	1	1	0	2
rxn09202	1	1	0	2
rxn09203	1	1	0	2
rxn09205	0	0	0	0
rxn09206	0	0	0	0
rxn09207	0	0	0	0
rxn09208	0	0	0	0
rxn09209	0	0	0	0
rxn09210	0	0	0	0
rxn09211	0	0	0	0
