rxn03324	MNXR100637
rxn10579	MNXR100638
rxn00867	MNXR100639
rxn02160	MNXR100642
rxn06439	MNXR100643
rxn05164	MNXR100644
rxn08718	MNXR100644
rxn05299	MNXR100645
rxn08719	MNXR100645
rxn09744	MNXR100645
rxn11327	MNXR100645
rxn13314	MNXR100647
rxn08721	MNXR100649
rxn10932	MNXR100649
rxn04453	MNXR100652
rxn01895	MNXR100654
rxn04604	MNXR100655
rxn01930	MNXR100656
rxn08762	MNXR100657
rxn10168	MNXR100657
rxn10558	MNXR100657
rxn00060	MNXR100658
rxn02484	MNXR100664
rxn10625	MNXR100665
rxn10622	MNXR100666
rxn10620	MNXR100667
rxn01993	MNXR100669
rxn01896	MNXR100671
rxn03608	MNXR100672
rxn04096	MNXR100672
rxn03863	MNXR100674
rxn02422	MNXR100675
rxn08722	MNXR100676
rxn08723	MNXR100678
rxn00540	MNXR100679
rxn03610	MNXR100680
rxn01280	MNXR100682
rxn03071	MNXR100683
rxn03368	MNXR100685
rxn02181	MNXR100691
rxn01015	MNXR100692
rxn02503	MNXR100694
rxn03038	MNXR100695
rxn08725	MNXR100696
rxn10134	MNXR100696
rxn08726	MNXR100697
rxn02356	MNXR100698
rxn02358	MNXR100699
rxn01014	MNXR100700
rxn05678	MNXR100703
rxn01693	MNXR100715
rxn01692	MNXR100722
rxn01302	MNXR100734
rxn01301	MNXR100735
rxn01303	MNXR100736
rxn01300	MNXR100737
rxn00015	MNXR100740
rxn01304	MNXR100741
rxn01297	MNXR100747
rxn05201	MNXR100748
rxn08737	MNXR100749
rxn08738	MNXR100749
rxn10143	MNXR100749
rxn08732	MNXR100750
rxn00836	MNXR100752
rxn08734	MNXR100753
rxn10118	MNXR100753
rxn08735	MNXR100754
rxn10119	MNXR100754
rxn05759	MNXR100757
rxn10968	MNXR100758
rxn00201	MNXR100762
rxn01808	MNXR100763
rxn08730	MNXR100765
rxn11009	MNXR100765
rxn10801	MNXR100772
rxn00888	MNXR100773
rxn13315	MNXR100774
rxn13316	MNXR100775
rxn13317	MNXR100775
rxn00877	MNXR100777
rxn13318	MNXR100779
rxn13319	MNXR100780
rxn13320	MNXR100780
rxn00198	MNXR100781
rxn00505	MNXR100782
rxn00832	MNXR100783
rxn01258	MNXR100784
rxn02177	MNXR100785
rxn05589	MNXR100786
rxn05590	MNXR100787
rxn12802	MNXR100787
rxn12803	MNXR100788
rxn00336	MNXR100789
rxn09742	MNXR100791
rxn10831	MNXR100791
rxn00830	MNXR100796
rxn03953	MNXR100801
rxn03954	MNXR100802
rxn08742	MNXR100803
rxn10167	MNXR100803
rxn08743	MNXR100804
rxn00706	MNXR100807
rxn00001	MNXR100808
rxn11226	MNXR100808
rxn04113	MNXR100810
rxn03135	MNXR100811
rxn10807	MNXR100812
rxn02473	MNXR100813
rxn02507	MNXR100814
rxn09896	MNXR100816
rxn01574	MNXR100818
rxn06440	MNXR100820
rxn05179	MNXR100821
rxn08745	MNXR100821
rxn05244	MNXR100822
rxn08746	MNXR100822
rxn13322	MNXR100822
rxn05241	MNXR100823
rxn08747	MNXR100824
rxn10933	MNXR100824
rxn13323	MNXR100824
rxn13321	MNXR100825
rxn02789	MNXR100826
rxn02811	MNXR100827
rxn00834	MNXR100830
rxn08749	MNXR100831
rxn10560	MNXR100832
rxn09741	MNXR100833
rxn13324	MNXR100834
rxn13325	MNXR100834
rxn08750	MNXR100835
rxn10176	MNXR100835
rxn08751	MNXR100836
