rxn00549_c0	FBP
rxn00224_c0	FCLT
rxn00371_c0	FDH
rxn05555_c0	FE2abc
rxn05195_c0	FE3abc
rxn00056_c0	FERO
rxn03005_c0	FGFTh
rxn01639_c0	FGLU
rxn02262_c0	FK
rxn08521_c0	FLVRx
rxn03974_c0	FMNRx
rxn01602_c0	FOLR2
rxn01652_c0	FOMETRi
rxn03004_c0	FPGFTh
rxn00689_c0	FPGS_tm
rxn01466_c0	FPPSh
rxn00288_c0	FRD
rxn08527_c0	FRD2
rxn08528_c0	FRD3
rxn09272_c0	FRD7
rxn01486_c0	FRTT
rxn01492_c0	FRUK
rxn05560_c0	FRUpts
rxn03843_c0	FT
rxn01653_c0	FTCL
rxn00691_c0	FTHFD
rxn00799_c0	FUM
rxn10152_c0	FUMt2_2
rxn05561_c0	FUMt2r
rxn03638_c0	G1PACT
rxn01675_c0	G1PTT
rxn01629_c0	G1SAT
rxn08546_c0	G3PAT120
rxn08547_c0	G3PAT140
rxn08548_c0	G3PAT141
rxn08549_c0	G3PAT160
rxn10202_c0	G3PAT160_1
rxn08550_c0	G3PAT161
rxn08551_c0	G3PAT180
rxn08552_c0	G3PAT181
rxn00616_c0	G3PD
rxn00611_c0	G3PD1
rxn00612_c0	G3PD2
rxn08556_c0	G3PD5
rxn08557_c0	G3PD6
rxn08558_c0	G3PD7
rxn01682_c0	G3PL
rxn02373_c0	G5DHx
rxn02374_c0	G5SADrm
rxn01975_c0	G6PBDH
rxn00552_c0	G6PDA
rxn00604_c0	G6PDH2er
rxn01977_c0	G6PI
rxn02380_c0	G6PI3
rxn03887_c0	GALCTD
rxn02173_c0	GALCTND
rxn00187_c0	GALh
rxn08583_c0	GALT1
rxn05567_c0	GALTpts
rxn00213_c0	GALUi
rxn00189_c0	GAM
rxn05569_c0	GAMpts
rxn00781_c0	GAPD
rxn00782_c0	GAPDH_nadp_hi
rxn04783_c0	GART
rxn01241_c0	GCC2cm
rxn06377_c0	GCCa
rxn06600_c0	GCCb
rxn06493_c0	GCCc
rxn00646_c0	GCL
rxn00182_c0	GDH
rxn00555_c0	GF6PTA
rxn05127_c0	GGGABADr
rxn05287_c0	GGTT
rxn00692_c0	GHMT
rxn00239_c0	GK1
rxn09562_c0	GK2
rxn08619_c0	GLCTR2
rxn08620_c0	GLCTR3
rxn03406_c0	GLNSP1
