EX_thymd_e	MNXR98980
EX_tre_e	MNXR98988
EX_trp__L_e	MNXR98991
EX_tsul_e	MNXR98995
EX_ttdca_e	MNXR98996
EX_uri_e	MNXR99026
EX_xyl__D_e	MNXR99051
EX_zn2_e	MNXR98152
FA100ACPHi	MNXR99086
FA80ACPHi	MNXR99125
FACOAE160	MNXR99131
FACOAE180	MNXR99133
FACOAE1836Z9Z12Z	MNXR99137
FACOAL140	MNXR99145
FACOAL160	MNXR99153
FACOAL180	MNXR99164
FAS140ACPm	MNXR99392
FBA	MNXR99459
FBA3	MNXR99461
FBP	MNXR99465
FCLT	MNXR99471
FDH	MNXR99475
FE2abc	MNXR99504
FE3abc	MNXR99525
FERO	MNXR99561
FGFTh	MNXR99592
FGLU	MNXR99593
FK	MNXR99595
FLVRx	MNXR99602
FMNRx	MNXR99607
FOLR2	MNXR97400
FOMETRi	MNXR99614
FORti	MNXR99620
FPGFTh	MNXR99623
FPGS_tm	MNXR99633
FPPSh	MNXR99634
FRD	MNXR99636
FRD2	MNXR99637
FRD3	MNXR99639
FRD7	MNXR99641
FRTT	MNXR99650
FRUK	MNXR99652
FRUpts	MNXR99661
FT	MNXR99666
FTCL	MNXR99668
FTHFD	MNXR99669
FUM	MNXR99705
FUMt2r	MNXR99713
G1PACT	MNXR99841
G1PTT	MNXR99846
G1SAT	MNXR99850
G3PAT120	MNXR99854
G3PAT140	MNXR99855
G3PAT141	MNXR99856
G3PAT160	MNXR99857
G3PAT160_1	MNXR99858
G3PAT161	MNXR99859
G3PAT180	MNXR99860
G3PAT181	MNXR99862
G3PD	MNXR99875
G3PD1	MNXR99876
G3PD5	MNXR99880
G3PD6	MNXR99881
G3PD7	MNXR99882
G3PL	MNXR99889
G5DHx	MNXR99896
G5SADrm	MNXR99897
G6PBDH	MNXR99903
G6PDA	MNXR99905
G6PDH2r	MNXR99907
G6PI	MNXR99909
G6PI3	MNXR99910
GALCTD	MNXR99955
GALCTND	MNXR99957
GALM1	MNXR99986
GALT1	MNXR100015
GALTpts	MNXR100018
GALUi	MNXR100022
GALh	MNXR100024
GAM	MNXR100030
GAMpts	MNXR100034
GAPD	MNXR100040
GAPDH_nadp_hi	MNXR100041
GART	MNXR100042
GCC2cm	MNXR100066
GCCa	MNXR100067
GCCb	MNXR100068
GCCc	MNXR100069
GCL	MNXR100074
GDH	MNXR100085
GF6PTA	MNXR100107
GGGABADr	MNXR100113
GGTT	MNXR100137
GHMT	MNXR100142
GK1	MNXR100144
GK2	MNXR100145
GLCDpp	MNXR100177
GLCTR2	MNXR100227
GLCTR3	MNXR100228
GLCabcpp	MNXR100236
GLCpts	MNXR100237
GLNSP1	MNXR100252
GLNSP2	MNXR100253
GLNSP3	MNXR100254
GLNabc	MNXR100258
GLU5K	MNXR100277
GLUFORT	MNXR100281
GLUFT	MNXR100282
GLUK_syn	MNXR100283
GLUPRT	MNXR100287
GLUR	MNXR100288
GLUS_nadph	MNXR100291
GLUTCOADHc	MNXR100293
GLUTRR	MNXR100294
GLUTRS	MNXR100295
GLUt2r	MNXR100300
GLXO1	MNXR100304
GLYALDDr	MNXR100310
GLYAMDTRc	MNXR100312
GLYAT	MNXR100313
GLYBabc	MNXR100314
GLYCDH_1	MNXR100325
GLYCK	MNXR100328
GLYCK2	MNXR100329
GLYCL	MNXR100330
GLYCLTDx	MNXR100331
GLYCLTDy	MNXR100332
GLYCOR_nadp	MNXR100336
GLYCt	MNXR100343
GLYK	MNXR100348
GLYt2m	MNXR100368
GMHEPAT	MNXR100378
GMP5N	MNXR100381
GMPS2	MNXR100384
GND	MNXR100389
GNK	MNXR100390
GNNUC	MNXR100392
GPAR	MNXR100409
GPDDA1	MNXR100410
GPDDA2	MNXR100411
GPDDA4	MNXR100413
GTPCI	MNXR100453
GTPCII2	MNXR100455
GTPDPK	MNXR100457
GUAD	MNXR100464
GUDBUTNAH	MNXR100467
H2Ot	MNXR98641
H4THDPR
H4THDPS
HACD1	MNXR100541
HACD2	MNXR100543
HACD3	MNXR100544
HACD4	MNXR100545
HACD5	MNXR100546
HACD6	MNXR100547
HACD7	MNXR100548
HACD9	MNXR100550
HACDp	MNXR100551
HADPCOADH3	MNXR100555
HCO3E	MNXR100482
HDC	MNXR100581
HDCAt2	MNXR100583
HDH	MNXR100587
HEPK1	MNXR100598
HEPK2	MNXR100599
HEPT1	MNXR100602
HEPT2	MNXR100604
HEPT3	MNXR100606
HEPT4	MNXR100607
HEX1	MNXR100612
HEXTT	MNXR100621
HGNTOR	MNXR100628
HIBDkt	MNXR100633
HISDr	MNXR100639
HISTP	MNXR100642
HIUH	MNXR100652
HKYNH	MNXR100656
HKt	MNXR100657
HMBS	MNXR100658
HMGL	MNXR100662
HPPK2	MNXR100694
HPYRDC	MNXR100700
HSDH	MNXR100734
HSDx	MNXR100735
HSERTA	MNXR100736
HSK	MNXR100737
HSPMS	MNXR100740
HXAND	MNXR100747
HXANt2pp	MNXR100748
HXPRT	MNXR100752
HYD1	MNXR100753
HYD1pp	MNXR100753
Ht	MNXR100765
IBPHn	MNXR100776
ICDHx	MNXR100782
ICH	MNXR100783
ICL	MNXR100789
IDPh	MNXR100808
IDS1	MNXR100810
IG3PS	MNXR100811
IGPDH	MNXR100813
IGPS	MNXR100814
IMACTD	MNXR95745
IMDHT	MNXR100826
IMDHT_3c2hmp	MNXR100827
IMPD	MNXR100830
INSH	MNXR100844
INSt2	MNXR100850
IPDPS	MNXR100874
IPMD	MNXR100878
IPPS	MNXR100879
ITCY	MNXR100885
IZPN	MNXR100896
KARI	MNXR100903
KARI_23dhmb	MNXR100904
KARI_23dhmp	MNXR100905
KARI_3hmoa	MNXR100906
KDOCT	MNXR100932
KDOPP	MNXR100933
KDOPS	MNXR100934
KYN3OX	MNXR100947
Kt1	MNXR100950
LCADi	MNXR101018
LDH_D2	MNXR101039
LDH_L	MNXR101040
LPLIPAL1A120pp	MNXR101141
LPLIPAL1A140pp	MNXR101142
LPLIPAL1A141pp	MNXR101143
LPLIPAL1A160pp	MNXR101144
LPLIPAL1A180pp	MNXR101146
LPLIPAL2A120	MNXR101162
LPLIPAL2A140	MNXR101163
LPLIPAL2A141	MNXR101164
LPLIPAL2A160	MNXR101165
LPLIPAL2A180	MNXR101167
LPLIPAL2E160	MNXR101186
LPLIPAL2E180	MNXR101188
LTDCL	MNXR101250
LYSRC	MNXR101263
LYSt2m	MNXR101266
L_LACD3	MNXR101275
L_LACDcm	MNXR101276
MALS	MNXR101347
MALT	MNXR101350
MALTabc	MNXR101362
MALTpts	MNXR101363
MALt2_2	MNXR101370
MAN1PT2	MNXR101376
MAN6PI	MNXR101382
MANAO	MNXR101389
MANpts	MNXR101401
MATm	MNXR101407
MCCC	MNXR101411
MCITD	MNXR101413
MCITL2	MNXR101415
MCITS	MNXR101417
MCLOR	MNXR101419
MCOATA	MNXR101421
MCPST	MNXR101422
MCS	MNXR101424
MCSNAH	MNXR101425
MDH	MNXR101439
MDHC_nadp_hr	MNXR101443
MECDPDH2	MNXR101448
METDabc	MNXR101472
METSOX1abcpp	MNXR101482
METSOXR1	MNXR101484
METabc	MNXR101489
MG2abc	MNXR101505
MG2t	MNXR101507
MGC	MNXR101513
MI1PP	MNXR101570
MI3PP	MNXR101574
MI4PP	MNXR101579
MICITDr	MNXR101580
MIHKPP	MNXR101581
MMSAD3	MNXR101665
MMSDH	MNXR101666
MN2t3pp	MNXR101669
MNXR10704
MNXR10705
MNXR12173
MNXR14387
MNXR14507
MNXR14578
MNXR14719
MNXR14762
MNXR14768
MNXR15065
MNXR15262
MNXR15436
MNXR15510
MNXR15609
MNXR15641
MNXR15642
MNXR15797
MNXR15867
MNXR1587
MNXR15972
MNXR15973
MNXR160
MNXR16018
MNXR16204
MNXR16236
MNXR16239
MNXR16307
MNXR16994
MNXR16995
MNXR17004
MNXR17026
MNXR17153
MNXR17265
MNXR17268
MNXR17296
MNXR17297
MNXR17649
MNXR17653
MNXR17657
MNXR17827
MNXR17833
MNXR17835
MNXR17903
MNXR17904
MNXR17916
MNXR17974
MNXR17999
MNXR18003
MNXR18214
MNXR1991
MNXR20056
MNXR2062
MNXR22677
MNXR2293
MNXR27601
MNXR27602
MNXR27603
MNXR27604
MNXR27605
MNXR27606
MNXR27634
MNXR27635
MNXR27636
MNXR27638
MNXR27639
MNXR27640
MNXR27642
MNXR27643
MNXR27644
MNXR27646
MNXR27647
MNXR27648
MNXR27650
MNXR27651
MNXR27652
MNXR27654
MNXR27655
MNXR27656
MNXR27659
MNXR27660
MNXR27661
MNXR27663
MNXR27664
MNXR27665
MNXR27667
MNXR27668
MNXR27669
MNXR27671
MNXR27672
MNXR27673
MNXR27675
MNXR27676
MNXR27677
MNXR27679
MNXR27680
MNXR27681
MNXR27684
MNXR27686
MNXR27688
MNXR27690
MNXR27692
MNXR27694
MNXR27696
MNXR27698
MNXR27700
MNXR27702
MNXR27704
MNXR27706
MNXR2772
MNXR27735
MNXR27737
MNXR27805
MNXR27856
MNXR2786
MNXR2826
MNXR2832
MNXR28652
MNXR28653
MNXR28654
MNXR28660
MNXR28662
MNXR28663
MNXR28664
MNXR28665
MNXR28666
MNXR28667
MNXR28671
MNXR28672
MNXR28673
MNXR28674
MNXR28675
MNXR28676
MNXR28683
MNXR28684
MNXR28685
MNXR28686
MNXR28687
MNXR28688
MNXR28689
MNXR28690
MNXR28691
MNXR28692
MNXR28693
MNXR28694
MNXR28710
MNXR28711
MNXR28712
MNXR28713
MNXR28714
MNXR28715
MNXR28716
MNXR28717
MNXR28718
MNXR28719
MNXR28720
MNXR28721
MNXR28722
MNXR28723
MNXR29077
MNXR29256
MNXR2929
MNXR2930
MNXR29604
MNXR29606
MNXR29607
MNXR31648
MNXR3231
MNXR32524
MNXR3277
MNXR3279
MNXR3312
MNXR33771
MNXR33785
MNXR33807
MNXR34453
MNXR3469
MNXR3495
MNXR3536
MNXR35657
MNXR40035
MNXR40622
MNXR4313
MNXR4335
MNXR4402
MNXR4403
MNXR4458
MNXR46338
MNXR47135
MNXR5314
MNXR53357
MNXR53358
MNXR53359
MNXR53360
MNXR53361
MNXR53362
MNXR53363
MNXR53364
MNXR53365
MNXR53366
MNXR53368
MNXR5404
MNXR5449
MNXR5475
MNXR55674
MNXR55989
MNXR55990
MNXR5630
MNXR5681
MNXR5689
MNXR5724
MNXR5727
MNXR57329
MNXR5765
MNXR578
MNXR58251
MNXR5856
MNXR58824
MNXR5887
MNXR5910
MNXR59227
MNXR5927
MNXR59665
MNXR59713
MNXR59771
MNXR59886
MNXR60025
MNXR6030
MNXR60319
MNXR60320
MNXR60327
MNXR6043
MNXR60581
MNXR60651
MNXR60681
MNXR60682
MNXR60684
MNXR60685
MNXR60686
MNXR60687
MNXR60688
MNXR60689
MNXR60692
MNXR6106
MNXR6164
MNXR61873
MNXR6274
MNXR6283
MNXR62992
MNXR6311
MNXR6332
MNXR63965
MNXR63966
MNXR63967
MNXR63968
MNXR63969
MNXR63971
MNXR63972
MNXR63973
MNXR63975
MNXR6493
MNXR6494
MNXR6532
MNXR6539
MNXR65450
MNXR65498
MNXR6555
MNXR6631
MNXR67415
MNXR6834
MNXR6908
MNXR69161
MNXR69337
MNXR69346
MNXR69352
MNXR6969
MNXR69693
MNXR69694
MNXR6970
MNXR69727
MNXR69749
MNXR69763
MNXR69802
MNXR69813
MNXR69814
MNXR70083
MNXR70220
MNXR70329
MNXR70375
MNXR7063
MNXR70958
MNXR71149
MNXR71171
MNXR7118
MNXR71184
MNXR71295
MNXR7133
MNXR7136
MNXR71393
MNXR71411
MNXR71500
MNXR71594
MNXR71850
MNXR7212
MNXR72719
MNXR7297
MNXR73656
MNXR73710
MNXR73713
MNXR73934
MNXR74185
MNXR74304
MNXR74373
MNXR74388
MNXR7442
MNXR7459
MNXR74626
MNXR74716
MNXR74717
MNXR74722
MNXR74782
MNXR74931
MNXR74932
MNXR75041
MNXR75218
MNXR75220
MNXR75221
MNXR75248
MNXR75249
MNXR75271
MNXR7594
MNXR7613
MNXR7644
MNXR7721
MNXR7792
MNXR78083
MNXR79288
MNXR79548
MNXR79575
MNXR79601
MNXR79604
MNXR79613
