3MOBDC	MNXR94922
3MOBt2im	MNXR94923
3MOBte	MNXR94924
3MOBth	MNXR94924
3MOBtm	MNXR94924
3MOPDC	MNXR94925
3MOPt	MNXR94926
3MOPt2im	MNXR94927
3MOPtm	MNXR94926
3MOX4HOXPGALDOX	MNXR94928
3MOX4HOXPGALDOX_NADP	MNXR94929
3MOXTYRESSte	MNXR94930
3MOXTYROX	MNXR94931
3NTD2pp	MNXR94932
3NTD2pp_1	MNXR94933
3NTD4pp	MNXR94934
3NTD7l	MNXR94935
3NTD7pp	MNXR94935
3NTD9pp	MNXR94936
3NTYROXDApp	MNXR94937
3NUCLE1	MNXR94935
3NUCLE2	MNXR94932
3NUCLE3	MNXR94934
3NUCLE4	MNXR94936
3OACOAR	MNXR94938
3OACOAS	MNXR94939
3OADPCOAT	MNXR94940
3OAR100	MNXR94941
3OAR100_1	MNXR94941
3OAR120	MNXR94942
3OAR120_1	MNXR94942
3OAR121	MNXR94943
3OAR140	MNXR94944
3OAR140_1	MNXR94944
3OAR141	MNXR94945
3OAR160	MNXR94946
3OAR160_1	MNXR94946
3OAR161	MNXR94947
3OAR180	MNXR94948
3OAR180_1	MNXR94948
3OAR181	MNXR94949
3OAR181_1	MNXR94949
3OAR40	MNXR94950
3OAR40_1	MNXR94951
3OAR60	MNXR94952
3OAR60_1	MNXR94952
3OAR80	MNXR94953
3OAR80_1	MNXR94953
3OAS100	MNXR94954
3OAS100_1	MNXR94954
3OAS120	MNXR94955
3OAS120_1	MNXR94955
3OAS121	MNXR94956
3OAS140	MNXR94957
3OAS140_1	MNXR94957
3OAS141	MNXR94958
3OAS160	MNXR94959
3OAS160_1	MNXR94959
3OAS161	MNXR94960
3OAS180	MNXR94961
3OAS180_1	MNXR94961
3OAS181	MNXR94962
3OAS181_1	MNXR94962
3OAS60	MNXR94963
3OAS60_1	MNXR94963
3OAS80	MNXR94964
3OAS80_1	MNXR94964
3OPHB5Hm	MNXR94965
3OPHB_5tm	MNXR94966
3OXCOAT	MNXR94967
3OXOADPt_ex	MNXR94968
3OXOADPt_pp	MNXR94969
3PEPTabcpp	MNXR94970
3PEPTtex	MNXR94971
3PG_pi_thr	MNXR94972
3PGt6	MNXR94973
3PGt6pp	MNXR94972
3PGtex	MNXR94974
3PGtx	MNXR94974
3PHACOAOR	MNXR94975
3PHACTE	MNXR94976
3SALAASPm	MNXR94977
3SALACBOXL	MNXR94978
3SALACBOXL_cho	MNXR94978
3SALAOX	MNXR94979
3SALATAi	MNXR94980
3SALATAim	MNXR94980
3SPYRSP	MNXR94981
3SPYRSPh	MNXR94981
3SPYRSPm	MNXR94981
3SPYRSPm_1	MNXR94981
3UMPt6	MNXR94982
3UMPtex	MNXR94983
3_4DHBZ1t_pp	MNXR94984
3_4DHBZt2	MNXR94985
3hoxpactex	MNXR94986
41R1H2MAE12BOOX	MNXR94987
41R2A1H12BOOX	MNXR94988
42A12BOOX	MNXR94989
42A12BOOXpp	MNXR94989
44MZYMMO	MNXR94990
4ABUTD	MNXR94991
4ABUTNtm	MNXR94992
4ABUTtcn	MNXR94993
4ABUTth	MNXR94993
4ABUTthi	MNXR94994
4ABUTtm	MNXR94993
4ABUTtmi	MNXR94994
4ABZt	MNXR94995
4ABZt2r	MNXR94996
4ABZtm	MNXR94995
4C2HM6SADH	MNXR94997
4CMCOAS	MNXR94998
4CMLCL_kt	MNXR94999
4H2KPILY	MNXR95000
4H2OGLTtm	MNXR95001
4H2OGLTtp	MNXR95001
4H3NALDD	MNXR95002
4H3NPACAM	MNXR95003
4HALDD	MNXR95004
4HBALDt2pp	MNXR95005
4HBALDtex	MNXR95006
4HBAtex	MNXR95007
4HBCOAH	MNXR95008
4HBHYOX	MNXR95009
4HBZCOAFm	MNXR95010
4HBZFm	MNXR95011
4HBZR	MNXR95012
4HBZtex	MNXR95013
4HBZtm	MNXR95013
4HDEBRISOQUINEte	MNXR95014
4HGLSD	MNXR95015
4HGLSDm	MNXR95015
4HOXPACDOX_NADP	MNXR95016
4HOXPACDtex	MNXR95017
4HOXPACMOF	MNXR95018
4HOXPACMOF_1	MNXR95018
4HOXPACMON	MNXR95019
4HOXPACt2pp	MNXR95020
4HOXPACt2pp_1	MNXR95020
4HPROLTASCT1	MNXR95021
4HPRO_LTte	MNXR95022
4HPRO_LTtm	MNXR95022
4HPROtg	MNXR95022
4HTHRK	MNXR95023
4HTHRS	MNXR95024
4HTHRtex	MNXR95025
4HTHRtrpp	MNXR95026
4IZ5PPH	MNXR95027
4KFBPP	MNXR95028
4M2OPLOXRD	MNXR95029
4MBZALDH	MNXR95030
4MBZDH	MNXR95031
4MCAT23DOX	MNXR95032
4MOPDC	MNXR95033
4MOPt2im	MNXR95034
4MOPte	MNXR95035
4MOPtm	MNXR95035
4MPTNLte	MNXR95036
4MPTNLtm	MNXR95036
4MPTNLtr	MNXR95036
4MTOLBUTAMIDEte	MNXR95037
4MZYMCODH	MNXR95038
4MZYMDM	MNXR95039
4MZYMR	MNXR95040
4NPHSFte	MNXR95041
4NPHSULT	MNXR95042
4NPHte	MNXR95043
4OD	MNXR95044
4OD2	MNXR95045
4OHPROIMINOtc	MNXR95046
4OT	MNXR95047
4OT2	MNXR95048
4PCP	MNXR95049
4PCPpp	MNXR95049
4PEPTabcpp	MNXR95050
4PEPTtex	MNXR95051
4PHACTE	MNXR95052
4PYRDX	MNXR95053
4hoxpactex	MNXR95054
56DH5FLURAAMH	MNXR95055
5ADTSTSTERONEGLCte	MNXR95056
5ADTSTSTERONEGLCtr	MNXR95057
5ADTSTSTERONESULT	MNXR95058
5ADTSTSTERONESte	MNXR95059
5ADTSTSTERONEte	MNXR95060
5ADTSTSTERONEtr	MNXR95060
5AOPt2	MNXR95061
5AOPtm	MNXR95062
5C2O3EDDC	MNXR95063
5CM2HMUDI	MNXR95064
5DGLCNR	MNXR95065
5DGLCNt2rpp	MNXR95066
5DGLCNtex	MNXR95067
5DHFtl	MNXR95068
5DOAN	MNXR95069
5FLURAOR	MNXR95070
5FLURAPRT	MNXR95071
5FLURAt	MNXR95072
5FTHFt	MNXR95073
5FTHFt2	MNXR95074
5FTHFtm	MNXR95073
5HBZIDMT	MNXR95075
5HBZIDS	MNXR95076
5HBZIDS2	MNXR95077
5HLTDL	MNXR95078
5HOMEPRAZOLEte	MNXR95079
5HOXINDACTO2OX	MNXR95080
5HOXINDACTOX	MNXR95081
5HOXINDACTOXm	MNXR95081
5HOXINOXDA	MNXR95082
5HTRPDOX	MNXR95083
5HTRPVESSEC	MNXR95084
5HXKYNDCL	MNXR95085
5HXKYNOXDA	MNXR95086
5MTAte	MNXR95087
5MTAth	MNXR95087
5MTAtm	MNXR95087
5MTHFt	MNXR95088
5MTHFt2	MNXR95089
5MTHFtm	MNXR95088
5MTRt2	MNXR95090
5MTRtex	MNXR95091
5MTRtpp	MNXR95090
5OXPROt	MNXR95092
5THFtl	MNXR95093
5THFtm	MNXR95093
6APAt1	MNXR95094
6CTDS	MNXR95095
6DHFtl	MNXR95096
6DHFtm	MNXR95096
6HNACMO	MNXR95097
6HTSTSTERONEte	MNXR95098
6HTSTSTERONEtr	MNXR95098
6MPURPRT	MNXR95099
6MPURt	MNXR95100
6PGALSZ	MNXR95101
6PGCt6	MNXR95102
6PGLter	MNXR95103
6PGLthr	MNXR95103
6PHBG	MNXR95104
6THFtl	MNXR95105
6THFtm	MNXR95105
6TINS5MPOR	MNXR95106
6TXAN5MPAML	MNXR95107
7DHCHSTEROLtr	MNXR95108
7DHFtl	MNXR95109
7DHFtm	MNXR95109
7MHS	MNXR95110
7MHTS	MNXR95111
7THFtl	MNXR95112
7THFtm	MNXR95112
8AONNt2	MNXR95113
A1E	MNXR95114
A2GALT1	MNXR95115
A2GALT2	MNXR95116
A2GALT3	MNXR95117
A2GALT4	MNXR95118
A2GALT5	MNXR95119
A2GALT6	MNXR95120
A3GALT1	MNXR95121
A3GALT2	MNXR95122
A3GALT3	MNXR95123
A3GALT4	MNXR95124
A3GALT5	MNXR95125
A3MT	MNXR95126
A4GALT	MNXR95127
A4GALTc	MNXR95128
A4GALTc_cho	MNXR95129
A4GALTg	MNXR95128
A4GALTg_cho	MNXR95129
A4GNT1g	MNXR95130
A4GNT2g	MNXR95131
A5PISO	MNXR95132
AABHH	MNXR95133
AABTN	MNXR95134
AACOAR_syn	MNXR95135
AACOAT	MNXR95136
AACP1819ZS	MNXR95137
AACPS1	MNXR95138
AACPS10	MNXR95139
AACPS11	MNXR95140
AACPS1_1	MNXR95138
AACPS2	MNXR95141
AACPS3	MNXR95142
AACPS3_1	MNXR95142
AACPS4	MNXR95143
AACPS4_1	MNXR95143
AACPS5	MNXR95144
AACPS5_1	MNXR95144
AACPS6	MNXR95145
AACPS6_1	MNXR95145
AACPS7	MNXR95146
AACPS8	MNXR95147
AACPS9	MNXR95148
AACTOOR	MNXR95149
AACTtm	MNXR95150
AADDGT	MNXR95151
AADSACYCL	MNXR95152
AAMYL	MNXR95153
AAMYL_1	MNXR95154
AAMYLpp	MNXR95153
AAPT	MNXR95155
AASAD1	MNXR95156
AASAD2	MNXR95157
AASAD3	MNXR95158
AASAD3m	MNXR95158
AASPh	MNXR95159
AASPm	MNXR95159
AATA	MNXR95160
AATAi	MNXR95160
AATC	MNXR95161
AATG	MNXR94980
AATGm	MNXR94980
AATHA	MNXR95162
AATHB	MNXR95163
AAtr	MNXR95164
AB6PGH	MNXR95165
ABFA	MNXR95166
ABFPT	MNXR95167
ABFPTh	MNXR95167
ABO1g	MNXR95168
ABO1g_cho	MNXR95169
ABO2g	MNXR95170
ABO2g_cho	MNXR95171
ABO3g	MNXR95172
ABO3g_cho	MNXR95173
ABO4g	MNXR95174
ABO4g_cho	MNXR95175
ABO5g	MNXR95176
