biomass0	Biomass
rxn03974_c0	MNXR69003
rxn02201_c0	MNXR69004
rxn08528_c0	MNXR69006
rxn09272_c0	MNXR69008
rxn03843_c0	MNXR69022
rxn01675_c0	MNXR69063
rxn08547_c0	MNXR69065
rxn08548_c0	MNXR69066
rxn08549_c0	MNXR69067
rxn08556_c0	MNXR69074
rxn08558_c0	MNXR69075
rxn02374_c0	MNXR69079
rxn06038_c0	MNXR6908
rxn00604_c0	MNXR69082
rxn01977_c0	MNXR69084
rxn08583_c0	MNXR69104
rxn00213_c0	MNXR69105
rxn00239_c0	MNXR69138
rxn09562_c0	MNXR69139
rxn08619_c0	MNXR69158
rxn08620_c0	MNXR69159
rxn05574_c0	MNXR69161
rxn00790_c0	MNXR69167
rxn00274_c0	MNXR69171
EX_cpd00100_e0	MNXR69175
rxn05581_c0	MNXR69175
rxn00615_c0	MNXR69177
rxn01226_c0	MNXR69180
rxn08669_c0	MNXR69183
rxn01466_c0	MNXR69185
rxn00303_c0	MNXR69192
rxn00915_c0	MNXR69194
rxn08708_c0	MNXR69227
rxn08709_c0	MNXR69228
rxn03891_c0	MNXR69238
rxn00836_c0	MNXR69265
rxn10118_c0	MNXR69266
rxn01299_c0	MNXR69281
rxn01642_c0	MNXR69293
rxn02186_c0	MNXR69294
rxn02405_c0	MNXR69298
rxn00145_c0	MNXR69303
rxn08793_c0	MNXR69304
rxn08798_c0	MNXR69333
rxn08799_c0	MNXR69334
rxn08801_c0	MNXR69336
rxn08802_c0	MNXR69337
rxn08816_c0	MNXR69346
rxn08817_c0	MNXR69347
rxn08818_c0	MNXR69348
rxn08819_c0	MNXR69349
rxn08823_c0	MNXR69352
rxn08841_c0	MNXR69370
rxn08843_c0	MNXR69371
rxn00640_c0	MNXR69400
rxn02228_c0	MNXR69411
rxn02230_c0	MNXR69413
rxn03907_c0	MNXR69431
rxn05618_c0	MNXR69476
EX_cpd00030_e0	MNXR69477
rxn08954_c0	MNXR69478
rxn01265_c0	MNXR69522
rxn00237_c0	MNXR69528
rxn00117_c0	MNXR69530
rxn00409_c0	MNXR69531
rxn01512_c0	MNXR69532
rxn01353_c0	MNXR69533
rxn01678_c0	MNXR69534
rxn01673_c0	MNXR69535
rxn00515_c0	MNXR69536
rxn00941_c0	MNXR69542
rxn02402_c0	MNXR69544
rxn10121_c0	MNXR69545
rxn01893_c0	MNXR69594
rxn01362_c0	MNXR69599
rxn00503_c0	MNXR69619
rxn00305_c0	MNXR69652
rxn00704_c0	MNXR69672
rxn02107_c0	MNXR6969
rxn09108_c0	MNXR69692
rxn09109_c0	MNXR69693
rxn09110_c0	MNXR69694
rxn09111_c0	MNXR69695
rxn09112_c0	MNXR69697
rxn09113_c0	MNXR69698
rxn09114_c0	MNXR69699
rxn03971_c0	MNXR6970
rxn09123_c0	MNXR69721
rxn09125_c0	MNXR69723
rxn09129_c0	MNXR69727
rxn09133_c0	MNXR69731
rxn09135_c0	MNXR69733
rxn09144_c0	MNXR69743
rxn09146_c0	MNXR69745
rxn09150_c0	MNXR69749
rxn09164_c0	MNXR69763
rxn03108_c0	MNXR69768
rxn00242_c0	MNXR69771
rxn02304_c0	MNXR69777
rxn02895_c0	MNXR69784
rxn00770_c0	MNXR69797
rxn09198_c0	MNXR69802
rxn09200_c0	MNXR69804
rxn09202_c0	MNXR69806
rxn09203_c0	MNXR69807
rxn09205_c0	MNXR69812
rxn09206_c0	MNXR69813
rxn09207_c0	MNXR69814
rxn09208_c0	MNXR69815
rxn09209_c0	MNXR69816
rxn09210_c0	MNXR69817
rxn09211_c0	MNXR69818
rxn02989_c0	MNXR69832
rxn00392_c0	MNXR69844
rxn00772_c0	MNXR69847
rxn00777_c0	MNXR69867
rxn09240_c0	MNXR69878
rxn02774_c0	MNXR69898
rxn02056_c0	MNXR69900
rxn03630_c0	MNXR69939
rxn02003_c0	MNXR69950
rxn01068_c0	MNXR69968
rxn09310_c0	MNXR69971
rxn01200_c0	MNXR69977
rxn00438_c0	MNXR69991
rxn00605_c0	MNXR69996
rxn02312_c0	MNXR700
rxn00293_c0	MNXR70013
rxn00211_c0	MNXR70030
rxn00119_c0	MNXR70052
rxn00711_c0	MNXR70061
rxn02085_c0	MNXR70063
rxn01517_c0	MNXR70065
rxn01544_c0	MNXR70076
rxn01545_c0	MNXR70077
rxn00776_c0	MNXR70083
rxn00224_c0	MNXR70157
rxn11599_c0	MNXR70220
rxn02229_c0	MNXR70329
rxn00441_c0	MNXR70375
rxn02185_c0	MNXR70454
rxn00921_c0	MNXR7063
rxn04989_c0	MNXR70958
rxn06577_c0	MNXR71149
rxn02693_c0	MNXR71171
rxn00259_c0	MNXR7118
rxn03923_c0	MNXR71184
rxn02421_c0	MNXR71295
rxn01157_c0	MNXR7133
rxn02617_c0	MNXR7136
rxn02586_c0	MNXR71393
rxn04977_c0	MNXR71411
rxn04757_c0	MNXR71424
rxn05287_c0	MNXR71442
rxn00905_c0	MNXR7147
rxn05106_c0	MNXR71471
rxn14090_c0	MNXR71500
rxn00798_c0	MNXR71594
rxn04996_c0	MNXR71767
rxn00650_c0	MNXR718
rxn00519_c0	MNXR71850
rxn00589_c0	MNXR7212
rxn11759_c0	MNXR72147
rxn07449_c0	MNXR72719
rxn00314_c0	MNXR7297
rxn00931_c0	MNXR7299
rxn02297_c0	MNXR733
rxn00011_c0	MNXR73600
rxn00302_c0	MNXR73656
rxn00700_c0	MNXR73710
rxn00707_c0	MNXR73711
rxn00714_c0	MNXR73713
rxn00656_c0	MNXR738
rxn11962_c0	MNXR73934
rxn02791_c0	MNXR74185
rxn03068_c0	MNXR74267
rxn05339_c0	MNXR74285
rxn03174_c0	MNXR74304
rxn05354_c0	MNXR74373
rxn03421_c0	MNXR74388
rxn02187_c0	MNXR74397
rxn06526_c0	MNXR7442
rxn03511_c0	MNXR74422
rxn02474_c0	MNXR745
rxn03892_c0	MNXR74519
rxn03916_c0	MNXR74523
rxn00068_c0	MNXR7459
rxn04132_c0	MNXR74626
rxn04270_c0	MNXR74716
rxn04271_c0	MNXR74717
rxn04278_c0	MNXR74722
rxn02000_c0	MNXR74752
rxn04457_c0	MNXR74782
rxn04674_c0	MNXR74897
rxn04744_c0	MNXR74931
rxn04745_c0	MNXR74932
rxn07230_c0	MNXR75041
rxn07430_c0	MNXR75110
rxn07432_c0	MNXR75112
rxn07670_c0	MNXR75218
rxn07672_c0	MNXR75220
rxn07673_c0	MNXR75221
rxn07720_c0	MNXR75248
rxn07721_c0	MNXR75249
rxn07842_c0	MNXR75271
rxn01964_c0	MNXR7565
rxn03015_c0	MNXR7594
rxn03052_c0	MNXR7613
rxn01804_c0	MNXR7644
rxn03436_c0	MNXR76597
rxn02819_c0	MNXR7721
rxn00405_c0	MNXR778
rxn02199_c0	MNXR7792
rxn05458_c0	MNXR78083
rxn00802_c0	MNXR782
rxn01434_c0	MNXR783
EX_cpd00051_e0	MNXR788
rxn00555_c0	MNXR79233
rxn00577_c0	MNXR79288
rxn01575_c0	MNXR79548
rxn01925_c0	MNXR79575
rxn02268_c0	MNXR79601
rxn02302_c0	MNXR79604
rxn02342_c0	MNXR79609
rxn02376_c0	MNXR79613
rxn02409_c0;rxn11567_c0	MNXR79615
rxn02792_c0	MNXR79647
rxn03194_c0	MNXR79679
rxn03437_c0	MNXR79704
rxn03762_c0	MNXR79735
rxn05144_c0	MNXR79873
rxn05229_c0	MNXR79878
rxn05267_c0	MNXR79883
rxn05517_c0	MNXR79902
rxn06335_c0	MNXR80058
rxn06586_c0	MNXR80105
rxn07431_c0	MNXR80306
rxn07433_c0	MNXR80307
rxn07434_c0	MNXR80308
rxn07435_c0	MNXR80309
rxn07586_c0	MNXR80323
rxn09450_c0	MNXR80370
rxn08615_c0	MNXR80378
rxn08800_c0	MNXR80380
rxn08808_c0	MNXR80382
rxn08809_c0	MNXR80383
rxn08821_c0	MNXR80385
rxn09127_c0	MNXR80400
rxn09148_c0	MNXR80403
rxn09156_c0	MNXR80405
rxn09157_c0	MNXR80406
rxn09997_c0	MNXR80464
rxn10043_c0	MNXR80471
rxn10202_c0	MNXR80496
rxn10220_c0	MNXR80501
rxn10221_c0	MNXR80502
rxn10222_c0	MNXR80503
rxn10223_c0	MNXR80504
rxn10224_c0	MNXR80505
rxn10225_c0	MNXR80506
rxn10334_c0	MNXR80553
rxn10336_c0	MNXR80555
rxn10337_c0	MNXR80556
rxn10338_c0	MNXR80557
rxn10339_c0	MNXR80558
rxn10340_c0	MNXR80559
rxn10341_c0	MNXR80560
rxn10342_c0	MNXR80561
rxn01148_c0	MNXR8073
rxn12224_c0	MNXR80794
rxn12636_c0	MNXR80876
rxn12638_c0	MNXR80878
rxn12644_c0	MNXR80879
EX_cpd11606_e0	MNXR80882
rxn12664_c0	MNXR80882
BIOMASS_EXT;EX_cpd11416_c0	MNXR80933
rxn13661_c0	MNXR81103
rxn01405_c0	MNXR8129
rxn01210_c0	MNXR81305
rxn05350_c0	MNXR81386
rxn11755_c0	MNXR81413
rxn00872_c0	MNXR81478
rxn02270_c0	MNXR81481
rxn02866_c0	MNXR81484
rxn01924_c0	MNXR81485
rxn06023_c0	MNXR81542
rxn01137_c0	MNXR81551
rxn03540_c0	MNXR81554
rxn03536_c0	MNXR81559
rxn03538_c0	MNXR81563
rxn00775_c0	MNXR81566
rxn00122_c0	MNXR81572
rxn01484_c0	MNXR81575
rxn01029_c0	MNXR81576
rxn08084_c0	MNXR81582
rxn08086_c0	MNXR81583
rxn08087_c0	MNXR81585
rxn08088_c0	MNXR81586
rxn08089_c0	MNXR81588
rxn02938_c0	MNXR81638
rxn02275_c0	MNXR81677
rxn01843_c0	MNXR81678
rxn02222_c0	MNXR81679
rxn00231_c0	MNXR81680
rxn03839_c0	MNXR81681
rxn00726_c0	MNXR81688
rxn05256_c0	MNXR81713
EX_cpd03696_e0	MNXR81720
rxn05092_c0	MNXR81721
rxn00342_c0	MNXR81754
rxn10042_c0	MNXR81785
rxn08180_c0	MNXR81823
rxn05029_c0	MNXR81868
rxn10147_c0	MNXR81871
rxn00853_c0	MNXR82011
rxn10474_c0	MNXR82021
EX_cpd00149_e0	MNXR82021
rxn00730_c0	MNXR8203
rxn00113_c0	MNXR82049
rxn00717_c0	MNXR82063
rxn00410_c0	MNXR82065
rxn03535_c0	MNXR82082
rxn00566_c0	MNXR82085
rxn05733_c0	MNXR82091
rxn01368_c0	MNXR82096
rxn08291_c0	MNXR82105
rxn01858_c0	MNXR82107
rxn08297_c0	MNXR82117
rxn08307_c0	MNXR82152
rxn08309_c0	MNXR82153
rxn08311_c0	MNXR82154
rxn01672_c0	MNXR82166
rxn00407_c0	MNXR82167
rxn01800_c0	MNXR82168
rxn06728_c0	MNXR8219
rxn00055_c0	MNXR8221
rxn02475_c0	MNXR82287
rxn03080_c0	MNXR82301
rxn00539_c0	MNXR82449
EX_cpd00635_e0	MNXR82491
rxn02576_c0	MNXR8252
EX_cpd00082_e0	MNXR82533
EX_cpd00013_e0	MNXR82602
rxn05466_c0	MNXR82602
EX_cpd01030_e0	MNXR82631
EX_cpd00793_e0	MNXR82646
rxn08433_c0	MNXR82678
rxn08438_c0	MNXR82687
rxn01754_c0	MNXR8269
rxn00549_c0	MNXR82809
rxn08521_c0	MNXR82867
rxn00689_c0	MNXR82872
rxn00288_c0	MNXR82874
rxn05560_c0	MNXR82881
rxn08550_c0	MNXR82925
rxn08551_c0	MNXR82926
rxn08552_c0	MNXR82928
rxn00616_c0	MNXR82937
rxn00552_c0	MNXR82944
rxn02380_c0	MNXR82946
rxn00187_c0	MNXR82966
rxn00189_c0	MNXR82967
rxn06600_c0	MNXR82977
rxn00182_c0	MNXR82979
rxn03406_c0	MNXR83019
rxn03407_c0	MNXR83020
rxn03409_c0	MNXR83021
rxn03046_c0	MNXR8303
rxn01802_c0	MNXR83034
rxn00908_c0	MNXR83036
rxn01225_c0	MNXR83078
rxn08712_c0	MNXR83108
rxn08713_c0	MNXR83109
rxn00867_c0	MNXR83116
rxn00060_c0	MNXR83118
rxn00015_c0	MNXR83130
rxn03435_c0	MNXR83171
rxn01053_c0	MNXR83189
rxn01643_c0	MNXR832
rxn08820_c0	MNXR83224
rxn08822_c0	MNXR83225
rxn00559_c0	MNXR83276
rxn00721_c0	MNXR8328
rxn01025_c0	MNXR83288
rxn06077_c0	MNXR83306
rxn08971_c0	MNXR83428
rxn08975_c0	MNXR83430
rxn10122_c0	MNXR83431
rxn00138_c0	MNXR83437
rxn00568_c0	MNXR83471
rxn00569_c0	MNXR83472
rxn05239_c0	MNXR83571
rxn03512_c0	MNXR83577
rxn00545_c0	MNXR83624
rxn04043_c0	MNXR83627
rxn00558_c0	MNXR83637
rxn01315_c0	MNXR83662
rxn04453_c0	MNXR8375
rxn09124_c0	MNXR83914
rxn09126_c0	MNXR83915
rxn09128_c0	MNXR83916
rxn09145_c0	MNXR83922
rxn09147_c0	MNXR83923
rxn09149_c0	MNXR83924
rxn02937_c0	MNXR84002
rxn03147_c0	MNXR84003
rxn00932_c0	MNXR84019
rxn09188_c0	MNXR84020
rxn09197_c0	MNXR84034
rxn09201_c0	MNXR84036
rxn00655_c0	MNXR8404
rxn11726_c0	MNXR84081
rxn00208_c0	MNXR84084
rxn00048_c0	MNXR84099
rxn05231_c0	MNXR84118
rxn05233_c0	MNXR84120
rxn06076_c0	MNXR84122
rxn06075_c0	MNXR84124
rxn03886_c0	MNXR84172
rxn00165_c0	MNXR84190
rxn00740_c0	MNXR84197
rxn10126_c0	MNXR84240
rxn00623_c0	MNXR84247
rxn00737_c0	MNXR84302
rxn01333_c0	MNXR84303
rxn05289_c0	MNXR84310
rxn09296_c0	MNXR84323
rxn00785_c0	MNXR84331
rxn03842_c0	MNXR84385
rxn00101_c0	MNXR84402
rxn01199_c0	MNXR84423
rxn03289_c0	MNXR84520
rxn00847_c0	MNXR84532
rxn00678_c0	MNXR84576
rxn01066_c0	MNXR84580
rxn03365_c0	MNXR84631
rxn05814_c0	MNXR84761
rxn00550_c0	MNXR84794
rxn06060_c0	MNXR84885
rxn06098_c0	MNXR84910
rxn06099_c0	MNXR84911
rxn01995_c0	MNXR84987
rxn02359_c0	MNXR85051
rxn02360_c0	MNXR85052
rxn02391_c0	MNXR85058
rxn06394_c0	MNXR85082
rxn02821_c0	MNXR85159
rxn07438_c0	MNXR85179
rxn06647_c0	MNXR85205
rxn03094_c0	MNXR85233
rxn03095_c0	MNXR85234
rxn06735_c0	MNXR85248
rxn06759_c0	MNXR85267
rxn06760_c0	MNXR85268
rxn03185_c0	MNXR85270
rxn03236_c0	MNXR85277
rxn03366_c0	MNXR85287
rxn03419_c0	MNXR85297
rxn03463_c0	MNXR85306
rxn03465_c0	MNXR85308
rxn03467_c0	MNXR85310
rxn06864_c0	MNXR85314
rxn03644_c0	MNXR85335
rxn03872_c0	MNXR85362
rxn11946_c0	MNXR85363
rxn03951_c0	MNXR85368
rxn07099_c0	MNXR85427
rxn07100_c0	MNXR85428
rxn04413_c0	MNXR85460
rxn00346_c0	MNXR855
rxn12013_c0	MNXR85534
rxn05034_c0	MNXR85555
rxn05116_c0	MNXR85587
rxn05126_c0	MNXR85589
rxn01018_c0	MNXR856
rxn07841_c0	MNXR85709
rxn00428_c0	MNXR8571
rxn11715_c0	MNXR85731
rxn11801_c0	MNXR85739
rxn12052_c0	MNXR85754
rxn14256_c0	MNXR85795
rxn13971_c0	MNXR85856
rxn04938_c0	MNXR8605
rxn00337_c0	MNXR861
rxn01270_c0	MNXR8691
rxn05173_c0	MNXR86939
rxn07454_c0	MNXR8700
rxn00892_c0	MNXR87148
rxn04070_c0	MNXR8716
rxn00771_c0	MNXR87173
rxn10151_c0	MNXR874
rxn05012_c0	MNXR8742
EX_cpd00041_e0	MNXR877
rxn12206_c0	MNXR8903
rxn05872_c0	MNXR8926
rxn00532_c0	MNXR8994
rxn03915_c0	MNXR9029
rxn05673_c0	MNXR90744
rxn10204_c0	MNXR92341
rxn00792_c0	MNXR934
rxn00007_c0	MNXR93624
rxn00012_c0	MNXR93625
rxn00022_c0	MNXR93627
rxn00216_c0	MNXR93643
rxn00223_c0	MNXR93649
rxn00495_c0	MNXR93681
rxn00575_c0	MNXR93687
rxn00633_c0	MNXR93694
rxn00742_c0	MNXR93698
rxn00794_c0	MNXR93703
rxn00804_c0	MNXR93704
rxn01045_c0	MNXR93715
rxn01051_c0	MNXR93716
rxn01171_c0	MNXR93728
rxn01547_c0	MNXR93746
rxn01573_c0	MNXR93748
rxn01635_c0	MNXR93752
rxn01640_c0	MNXR93753
rxn02090_c0	MNXR93771
rxn02131_c0	MNXR93774
rxn02182_c0	MNXR93778
rxn02695_c0	MNXR93797
rxn02696_c0	MNXR93798
rxn00653_c0	MNXR938
rxn03323_c0	MNXR93834
rxn03402_c0	MNXR93840
rxn03487_c0	MNXR93844
rxn03488_c0	MNXR93845
rxn03848_c0	MNXR93864
rxn03849_c0	MNXR93865
rxn03869_c0	MNXR93869
rxn04133_c0	MNXR93881
rxn05147_c0	MNXR93922
rxn05226_c0	MNXR93928
rxn05778_c0	MNXR93945
rxn05779_c0	MNXR93946
rxn05948_c0	MNXR93966
rxn06403_c0	MNXR94017
rxn06750_c0	MNXR94061
rxn06752_c0	MNXR94063
rxn06823_c0	MNXR94066
rxn07056_c0	MNXR94094
rxn08126_c0	MNXR94163
rxn08127_c0	MNXR94164
rxn08128_c0	MNXR94165
rxn08129_c0	MNXR94166
rxn08294_c0	MNXR94179
rxn08295_c0	MNXR94180
rxn08296_c0	MNXR94181
rxn08298_c0	MNXR94182
rxn08299_c0	MNXR94183
rxn08300_c0	MNXR94184
rxn10116_c0	MNXR94190
EX_cpd00027_e0	MNXR94191
rxn08618_c0	MNXR94192
rxn08803_c0	MNXR94194
rxn08805_c0	MNXR94195
rxn08807_c0	MNXR94196
rxn08810_c0	MNXR94197
rxn08811_c0	MNXR94198
rxn08812_c0	MNXR94199
rxn08813_c0	MNXR94200
rxn08814_c0	MNXR94201
rxn08815_c0	MNXR94202
rxn08838_c0	MNXR94217
rxn08840_c0	MNXR94218
rxn08842_c0	MNXR94219
rxn08844_c0	MNXR94220
rxn08845_c0	MNXR94221
rxn08846_c0	MNXR94222
rxn08847_c0	MNXR94223
rxn08848_c0	MNXR94224
rxn08849_c0	MNXR94225
rxn08850_c0	MNXR94226
rxn08851_c0	MNXR94227
rxn09130_c0	MNXR94245
rxn09132_c0	MNXR94246
rxn09134_c0	MNXR94247
rxn09136_c0	MNXR94248
rxn09137_c0	MNXR94249
rxn09138_c0	MNXR94250
rxn09139_c0	MNXR94251
rxn09140_c0	MNXR94252
rxn09141_c0	MNXR94253
rxn09142_c0	MNXR94254
rxn09143_c0	MNXR94255
rxn09151_c0	MNXR94256
rxn09153_c0	MNXR94257
rxn09154_c0	MNXR94258
rxn09155_c0	MNXR94259
rxn09158_c0	MNXR94260
rxn09159_c0	MNXR94261
rxn09160_c0	MNXR94262
rxn09161_c0	MNXR94263
rxn09162_c0	MNXR94264
rxn09163_c0	MNXR94265
rxn09199_c0	MNXR94266
rxn09225_c0	MNXR94267
rxn00992_c0	MNXR943
rxn09978_c0	MNXR94312
rxn09979_c0	MNXR94313
rxn10060_c0	MNXR94325
rxn10211_c0	MNXR94332
rxn10212_c0	MNXR94333
rxn10213_c0	MNXR94334
rxn10335_c0	MNXR94338
rxn11749_c0	MNXR94426
rxn12845_c0	MNXR94492
rxn01867_c0	MNXR946
rxn01868_c0	MNXR947
rxn01682_c0	MNXR9546
rxn00741_c0	MNXR96
rxn00137_c0	MNXR965
rxn05485_c0	
EX_cpd00122_e0	
EX_cpd00224_e0	
EX_cpd00280_e0	
EX_cpd00164_e0	
EX_cpd15302_c0	
EX_cpd00067_e0	
EX_cpd11576_e0	
EX_cpd15560_e0	
EX_cpd15561_e0	
rxn13782_c0	
rxn13783_c0	
rxn13784_c0	
EX_cpd00154_e0	
rxn00016_c0	
rxn00816_c0	
rxn01080_c0	
rxn01292_c0	
rxn01457_c0	
rxn02362_c0	
rxn03462_c0	
rxn03893_c0	
rxn04052_c0	
rxn05336_c0	
rxn05342_c0	
rxn05343_c0	
rxn05344_c0	
rxn05345_c0	
rxn05346_c0	
rxn05347_c0	
rxn05348_c0	
rxn05359_c0	
rxn05363_c0	
rxn05367_c0	
rxn05371_c0	
rxn05375_c0	
rxn05379_c0	
rxn05384_c0	
rxn05388_c0	
rxn05392_c0	
rxn05396_c0	
rxn05400_c0	
rxn05404_c0	
rxn05409_c0	
rxn05413_c0	
rxn05417_c0	
rxn05421_c0	
rxn05425_c0	
rxn05429_c0	
rxn05460_c0	
rxn06181_c0	
rxn06453_c0	
rxn06723_c0	
rxn08333_c0	
rxn09448_c0	
rxn09988_c0	
rxn11612_c0	
rxn12008_c0	
rxn13990_c0	
rxn01044_c0	
rxn05671_c0	￿￿￿
