biomass0	Biomass
rxn00692_c0	MNXR2619
rxn00929_c0	MNXR26331
rxn02009_c0	MNXR26402
rxn05040_c0	MNXR26412
rxn06848_c0	MNXR26675
rxn08336_c0	MNXR26702
rxn08527_c0	MNXR26704
rxn08557_c0	MNXR26706
rxn08976_c0	MNXR26765
rxn01948_c0	MNXR272
rxn05734_c0	MNXR2737
rxn01286_c0	MNXR2740
rxn05181_c0	MNXR2744
EX_cpd00540_e0	MNXR2747
rxn01102_c0	MNXR2756
rxn08647_c0	MNXR2757
rxn00512_c0	MNXR2759
rxn00324_c0	MNXR2760
rxn05247_c0	MNXR27601
rxn05248_c0	MNXR27602
rxn05249_c0	MNXR27603
rxn05250_c0	MNXR27604
rxn05251_c0	MNXR27605
rxn05252_c0	MNXR27606
rxn05315_c0	MNXR27629
rxn05360_c0	MNXR27634
rxn05361_c0	MNXR27635
rxn05362_c0	MNXR27636
rxn05364_c0	MNXR27638
rxn05365_c0	MNXR27639
rxn05366_c0	MNXR27640
rxn05368_c0	MNXR27642
rxn05369_c0	MNXR27643
rxn05370_c0	MNXR27644
rxn05372_c0	MNXR27646
rxn05373_c0	MNXR27647
rxn05374_c0	MNXR27648
rxn05376_c0	MNXR27650
rxn05377_c0	MNXR27651
rxn05378_c0	MNXR27652
rxn05380_c0	MNXR27654
rxn05381_c0	MNXR27655
rxn05382_c0	MNXR27656
rxn05385_c0	MNXR27659
rxn05386_c0	MNXR27660
rxn05387_c0	MNXR27661
rxn05389_c0	MNXR27663
rxn05390_c0	MNXR27664
rxn05391_c0	MNXR27665
rxn05393_c0	MNXR27667
rxn05394_c0	MNXR27668
rxn05395_c0	MNXR27669
rxn05397_c0	MNXR27671
rxn05398_c0	MNXR27672
rxn05399_c0	MNXR27673
rxn05401_c0	MNXR27675
rxn05402_c0	MNXR27676
rxn05403_c0	MNXR27677
rxn05405_c0	MNXR27679
rxn05406_c0	MNXR27680
rxn05407_c0	MNXR27681
rxn05410_c0	MNXR27684
rxn05412_c0	MNXR27686
rxn05414_c0	MNXR27688
rxn01011_c0	MNXR2769
rxn05416_c0	MNXR27690
rxn05418_c0	MNXR27692
rxn05420_c0	MNXR27694
rxn05422_c0	MNXR27696
rxn05424_c0	MNXR27698
rxn05426_c0	MNXR27700
rxn05428_c0	MNXR27702
rxn05430_c0	MNXR27704
rxn05432_c0	MNXR27706
rxn01274_c0	MNXR2772
rxn05461_c0	MNXR27735
rxn05463_c0	MNXR27737
rxn05501_c0	MNXR27756
rxn05582_c0	MNXR2778
rxn05614_c0	MNXR27805
EX_cpd00033_e0	MNXR2782
rxn05722_c0	MNXR27856
rxn03919_c0	MNXR2786
rxn05735_c0	MNXR27865
