MNXR104235	rxn03917
MNXR104240	rxn00379
MNXR104241	rxn09240
MNXR104266	rxn05647
MNXR104270	rxn03063
MNXR104279	rxn01345
MNXR104285
MNXR104290	rxn09242
MNXR104300	rxn01973
MNXR104301	rxn03087
MNXR104317	rxn03380
MNXR104339	rxn00165
MNXR104343	rxn01964
MNXR104352	rxn05307
MNXR104373	rxn02774
MNXR104375	rxn02056
MNXR104378	rxn01740
MNXR104379	rxn01739
MNXR104384	rxn00740
MNXR104466	rxn05651
MNXR104477	rxn02944
MNXR104494	rxn05175
MNXR104498
MNXR104504	rxn00422
MNXR104540	rxn00508
MNXR104612	rxn02831
MNXR104622	rxn05654
MNXR104630	rxn10126
MNXR104635	rxn00285
MNXR104638	rxn00575
MNXR104640	rxn09658
MNXR104650	rxn00623
MNXR104655	rxn05153
MNXR104714	rxn00737
MNXR104715
MNXR104730	rxn03630
MNXR104732	rxn05172
MNXR104759	rxn02000
MNXR104760	rxn02003
MNXR104761	rxn01997
MNXR104762	rxn03181
MNXR104766	rxn05289
MNXR104805	rxn09295
MNXR104806	rxn03031
MNXR104815	rxn09296
MNXR104818	rxn05200
MNXR104833	rxn00541
MNXR104846	rxn01069
MNXR104858	rxn09310
MNXR104868
MNXR104869
MNXR104885	rxn01143
MNXR104887	rxn01146
MNXR104889	rxn01520
MNXR104907	rxn00438
MNXR104908	rxn02305
MNXR104918	rxn00747
MNXR104920	rxn09320
MNXR104926	rxn02004
MNXR104927	rxn00605
MNXR104931	rxn02005
MNXR104944	rxn00478
MNXR104946	rxn00474
MNXR104950	rxn05663
MNXR104964	rxn05176
MNXR104971
MNXR104990	rxn00529
MNXR105013
MNXR105014	rxn02009
MNXR105028	rxn06729
MNXR105032	rxn00461
MNXR105033	rxn00293
MNXR105036	rxn03933
MNXR105037	rxn03408
MNXR105038	rxn02008
MNXR105039	rxn02286
MNXR105041	rxn02285
MNXR105063	rxn00211
MNXR105079
MNXR105094
MNXR105109	rxn12549
MNXR105110	rxn03146
MNXR105118	rxn00119
MNXR105139	rxn02264
MNXR105140	rxn02288
MNXR105141	rxn03384
MNXR105142	rxn00711
MNXR105150	rxn02085
MNXR105153	rxn00101
MNXR105158	rxn03397
MNXR105160	rxn01517
MNXR105166	rxn05199
MNXR105217	rxn00904
MNXR105224	rxn02321
MNXR105225	rxn01522
MNXR105243	rxn01544
MNXR105245	rxn01545
MNXR105253	rxn01044
MNXR105254	rxn00223
MNXR105255	rxn01199
MNXR105271	rxn05671
MNXR105279	rxn05315
MNXR10704
MNXR10705
MNXR12173
MNXR14387
MNXR14507
MNXR14578
MNXR14719
MNXR14762
MNXR14768
MNXR15065
MNXR15262
MNXR15436
MNXR15510
MNXR15609
MNXR15641
MNXR15642
MNXR15797
MNXR15867
MNXR1587
MNXR15972
MNXR15973
MNXR160
MNXR16018
MNXR16204
MNXR16236
MNXR16239
MNXR16307
MNXR16994
MNXR16995
MNXR17004
MNXR17026
MNXR17153
MNXR17265
MNXR17268
MNXR17296
MNXR17297
MNXR17649
MNXR17653
MNXR17657
MNXR17827
MNXR17833
MNXR17835
MNXR17903
MNXR17904
MNXR17916
MNXR17974
MNXR17999
MNXR18003
MNXR18214
MNXR1991
MNXR20056
MNXR2062
MNXR22677
MNXR2293
MNXR27601
MNXR27602
MNXR27603
MNXR27604
MNXR27605
MNXR27606
MNXR27634
MNXR27635
MNXR27636
MNXR27638
MNXR27639
MNXR27640
MNXR27642
MNXR27643
MNXR27644
MNXR27646
MNXR27647
MNXR27648
MNXR27650
MNXR27651
MNXR27652
MNXR27654
MNXR27655
MNXR27656
MNXR27659
MNXR27660
MNXR27661
MNXR27663
MNXR27664
MNXR27665
MNXR27667
MNXR27668
MNXR27669
MNXR27671
MNXR27672
MNXR27673
MNXR27675
MNXR27676
MNXR27677
MNXR27679
MNXR27680
MNXR27681
MNXR27684
MNXR27686
MNXR27688
MNXR27690
MNXR27692
MNXR27694
MNXR27696
MNXR27698
MNXR27700
MNXR27702
MNXR27704
MNXR27706
MNXR2772
MNXR27735
MNXR27737
MNXR27805
MNXR27856
MNXR2786
MNXR2826
MNXR2832
MNXR28652
MNXR28653
MNXR28654
MNXR28660
MNXR28662
MNXR28663
MNXR28664
MNXR28665
MNXR28666
MNXR28667
MNXR28671
MNXR28672
MNXR28673
MNXR28674
MNXR28675
MNXR28676
MNXR28683
MNXR28684
MNXR28685
MNXR28686
MNXR28687
MNXR28688
MNXR28689
MNXR28690
MNXR28691
MNXR28692
MNXR28693
MNXR28694
MNXR28710
MNXR28711
MNXR28712
MNXR28713
MNXR28714
MNXR28715
MNXR28716
MNXR28717
MNXR28718
MNXR28719
MNXR28720
MNXR28721
MNXR28722
MNXR28723
MNXR29077
MNXR29256
MNXR2929
MNXR2930
MNXR29604
MNXR29606
MNXR29607
MNXR31648
MNXR3231
MNXR32524
MNXR3277
MNXR3279
MNXR3312
MNXR33771
MNXR33785
MNXR33807
MNXR34453
MNXR3469
MNXR3495
MNXR3536
MNXR35657
MNXR40035
MNXR40622
MNXR4313
MNXR4335
MNXR4402
MNXR4403
MNXR4458
MNXR46338
MNXR47135
MNXR5314
MNXR53357
MNXR53358
MNXR53359
MNXR53360
MNXR53361
MNXR53362
MNXR53363
MNXR53364
MNXR53365
MNXR53366
MNXR53368
MNXR5404
MNXR5449
MNXR5475
MNXR55674
MNXR55989
MNXR55990
MNXR5630
MNXR5681
MNXR5689
MNXR5724
MNXR5727
MNXR57329
MNXR5765
MNXR578
MNXR58251
MNXR5856
MNXR58824
MNXR5887
MNXR5910
MNXR59227
MNXR5927
MNXR59665
MNXR59713
MNXR59771
MNXR59886
MNXR60025
MNXR6030
MNXR60319
MNXR60320
MNXR60327
MNXR6043
MNXR60581
MNXR60651
MNXR60681
MNXR60682
MNXR60684
MNXR60685
MNXR60686
MNXR60687
MNXR60688
MNXR60689
MNXR60692
MNXR6106
MNXR6164
MNXR61873
MNXR6274
MNXR6283
MNXR62992
MNXR6311
MNXR6332
MNXR63965
MNXR63966
MNXR63967
MNXR63968
MNXR63969
MNXR63971
MNXR63972
MNXR63973
MNXR63975
MNXR6493
MNXR6494
MNXR6532
MNXR6539
MNXR65450
MNXR65498
MNXR6555
MNXR6631
MNXR67415
MNXR6834
MNXR6908
MNXR69161
MNXR69337
MNXR69346
MNXR69352
MNXR6969
MNXR69693
MNXR69694
MNXR6970
MNXR69727
MNXR69749
MNXR69763
MNXR69802
MNXR69813
MNXR69814
MNXR70083
MNXR70220
MNXR70329
MNXR70375
MNXR7063
MNXR70958
MNXR71149
MNXR71171
MNXR7118
MNXR71184
MNXR71295
MNXR7133
MNXR7136
MNXR71393
MNXR71411
MNXR71500
MNXR71594
MNXR71850
MNXR7212
MNXR72719
MNXR7297
MNXR73656
MNXR73710
MNXR73713
MNXR73934
MNXR74185
MNXR74304
MNXR74373
MNXR74388
MNXR7442
MNXR7459
MNXR74626
MNXR74716
MNXR74717
MNXR74722
MNXR74782
MNXR74931
MNXR74932
MNXR75041
MNXR75218
MNXR75220
MNXR75221
MNXR75248
MNXR75249
MNXR75271
MNXR7594
MNXR7613
MNXR7644
MNXR7721
MNXR7792
MNXR78083
MNXR79288
MNXR79548
MNXR79575
MNXR79601
MNXR79604
MNXR79613
MNXR79615
MNXR79647
MNXR79704
MNXR79735
MNXR79878
MNXR79883
MNXR80058
MNXR80306
MNXR80308
MNXR80309
MNXR80323
MNXR80370
MNXR80378
MNXR80380
MNXR80382
MNXR80383
MNXR80385
MNXR80400
MNXR80403
MNXR80405
MNXR80406
MNXR80464
MNXR80501
MNXR80502
MNXR80503
MNXR80504
MNXR80505
MNXR80506
MNXR80553
MNXR80555
MNXR80556
MNXR80557
MNXR80558
MNXR80559
MNXR80560
MNXR80561
MNXR8073
MNXR80794
MNXR80876
MNXR80878
MNXR80879
MNXR81103
MNXR8129
MNXR8203
MNXR8219
MNXR8221
MNXR8252
MNXR8269
MNXR8303
MNXR8328
MNXR8404
MNXR84520
MNXR84532
MNXR84576
MNXR84580
MNXR84631
MNXR84761
MNXR84794
MNXR84885
MNXR84910
MNXR84911
MNXR84987
MNXR85051
MNXR85052
MNXR85058
MNXR85082
MNXR85159
MNXR85179
MNXR85205
MNXR85233
MNXR85234
MNXR85248
MNXR85267
MNXR85268
MNXR85270
MNXR85277
MNXR85287
MNXR85297
MNXR85306
MNXR85308
MNXR85310
MNXR85314
MNXR85335
MNXR85362
MNXR85363
MNXR85368
MNXR85427
MNXR85428
MNXR85460
MNXR85534
MNXR85555
MNXR85587
MNXR85589
MNXR85709
MNXR8571
MNXR85731
MNXR85739
MNXR85754
MNXR85795
MNXR85856
MNXR8605
MNXR8691
MNXR86939
MNXR8700
MNXR87148
MNXR8716
MNXR87173
MNXR8742
MNXR8903
MNXR8926
MNXR8994
MNXR9029
MNXR90744
MNXR92341
MNXR93624
MNXR93625
MNXR93681
MNXR93694
MNXR93698
MNXR93703
MNXR93704
MNXR93715
MNXR93716
MNXR93746
MNXR93748
MNXR93752
MNXR93753
MNXR93771
MNXR93774
MNXR93778
MNXR93797
MNXR93798
MNXR93834
MNXR93840
MNXR93844
MNXR93845
MNXR93864
MNXR93865
MNXR93869
MNXR93881
MNXR93945
MNXR93946
MNXR93966
MNXR94017
MNXR94061
MNXR94063
MNXR94066
MNXR94094
MNXR94163
MNXR94164
MNXR94165
MNXR94166
MNXR94179
MNXR94180
MNXR94181
MNXR94182
MNXR94183
MNXR94184
MNXR94190
MNXR94192
MNXR94194
