MNXR100107
MNXR100312
MNXR100633
MNXR100662
MNXR100747
MNXR100753
MNXR100776
MNXR100903
MNXR100904
MNXR100905
MNXR100906
MNXR100932
MNXR100933
MNXR101141
MNXR101142
MNXR101143
MNXR101162
MNXR101163
MNXR101164
MNXR101276
MNXR101382
MNXR101419
MNXR101513
MNXR101666
MNXR101669
MNXR101876
MNXR101986
MNXR102372
MNXR102507
MNXR102511
MNXR102535
MNXR102589
MNXR102596
MNXR102632
MNXR102967
MNXR102968
MNXR102969
MNXR102989
MNXR102990
MNXR102991
MNXR103157
MNXR103165
MNXR103215
MNXR103229
MNXR103233
MNXR103235
MNXR103266
MNXR103270
MNXR103272
MNXR103329
MNXR103431
MNXR104084
MNXR104285
MNXR104498
MNXR104715
MNXR104868
MNXR104869
MNXR104971
MNXR105013
MNXR105079
MNXR105094
MNXR10704	rxn05824_c0
MNXR27672	rxn05398_c0
MNXR27673	rxn05399_c0
MNXR27675	rxn05401_c0
MNXR27676	rxn05402_c0
MNXR27677	rxn05403_c0
MNXR27679	rxn05405_c0
MNXR27680	rxn05406_c0
MNXR27681	rxn05407_c0
MNXR27684	rxn05410_c0
MNXR27686	rxn05412_c0
MNXR27688	rxn05414_c0
MNXR27690	rxn05416_c0
MNXR27692	rxn05418_c0
MNXR27694	rxn05420_c0
MNXR27696	rxn05422_c0
MNXR27698	rxn05424_c0
MNXR27700	rxn05426_c0
MNXR27702	rxn05428_c0
MNXR27704	rxn05430_c0
MNXR27706	rxn05432_c0
MNXR2772	rxn01274_c0
MNXR27735	rxn05461_c0
MNXR27737	rxn05463_c0
MNXR27805	rxn05614_c0
MNXR27856	rxn05722_c0
MNXR2786	rxn03919_c0
MNXR2826	rxn00086_c0
MNXR2832	rxn00351_c0
MNXR28652	rxn10194_c0
MNXR28653	rxn10195_c0
MNXR28654	rxn10196_c0
MNXR28660	rxn10203_c0
MNXR28662	rxn10205_c0
MNXR28663	rxn10206_c0
MNXR28664	rxn10207_c0
MNXR28665	rxn10208_c0
MNXR28666	rxn10209_c0
MNXR28667	rxn10210_c0
MNXR28671	rxn10214_c0
MNXR28672	rxn10215_c0
MNXR28673	rxn10216_c0
MNXR28674	rxn10217_c0
MNXR28675	rxn10218_c0
MNXR28676	rxn10219_c0
MNXR28683	rxn10226_c0
MNXR28684	rxn10227_c0
MNXR28685	rxn10228_c0
MNXR28686	rxn10229_c0
MNXR28687	rxn10230_c0
MNXR28688	rxn10231_c0
MNXR28689	rxn10232_c0
MNXR28690	rxn10233_c0
MNXR28691	rxn10234_c0
MNXR28692	rxn10235_c0
MNXR28693	rxn10236_c0
