,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
MNXR80403,0.03,0.08,-0.13,-0.03,0.1,-0.19,0.01,-0.15,0.02,0.11,0.05,0,-0.11,0.09,0.01,0,-0.06,0.18,-0.1,0.01,0.06,0.08,-0.06,-0.04,0.09,-0.04,0.02,-0.02,-0.03,0.06,0,-0.01,0.07,0.04,0.04,-0.02,0.03,0.05,-0.03,-0.03,0.08,0.03,0.07,-0.01,-0.03,0.01,0.06,0.09,0,0.1
MNXR80406,-0.03,0.03,-0.03,0.01,0.02,0.03,0.11,0.01,-0.08,-0.01,0,0.07,0.21,0.04,0.06,-0.08,-0.03,0.01,-0.11,-0.03,-0.03,-0.04,0.04,-0.07,-0.09,-0.07,0.04,-0.04,-0.02,0.11,0.12,0,-0.06,-0.08,-0.04,-0.02,-0.04,0.04,-0.08,-0.09,-0.01,0.02,-0.01,0.06,0.05,0.08,0.23,0.02,0,-0.04
MNXR84631,0.14,0.05,0.15,0.09,-0.1,-0.02,-0.02,-0.05,0.2,-0.09,-0.19,0.06,0.13,0.07,0.08,-0.01,-0.03,-0.06,-0.12,0.08,-0.06,0.04,-0.02,-0.14,0.04,-0.02,-0.09,0.11,0.02,0.02,-0.04,-0.03,0.08,0.17,-0.08,-0.09,0.06,0.1,0.13,0.08,0.12,-0.06,0.02,0.17,0.15,0.06,0.01,-0.13,0.04,0.19
MNXR85267,0.11,-0.09,0.03,-0.07,-0.09,0.02,0.02,-0.04,-0.02,-0.07,-0.07,0.08,-0.04,0.01,0.07,0.03,-0.11,0.14,-0.14,-0.07,-0.03,0.01,0.03,0.1,-0.02,-0.1,0.08,0.04,-0.01,-0.11,0.02,0.04,0.02,-0.02,0.03,0.08,-0.01,0.05,0.19,0.07,-0.12,-0.05,0.04,-0.05,-0.07,0.01,0.05,0.02,0,-0.09
MNXR85268,-0.11,0.09,-0.03,0.07,0.09,-0.02,-0.02,0.04,0.02,0.07,0.07,-0.08,0.04,-0.01,-0.07,-0.03,0.11,-0.14,0.14,0.07,0.03,-0.01,-0.03,-0.1,0.02,0.1,-0.08,-0.04,0.01,0.11,-0.02,-0.04,-0.02,0.02,-0.03,-0.08,0.01,-0.05,-0.19,-0.07,0.12,0.05,-0.04,0.05,0.07,-0.01,-0.05,-0.02,0,0.09
MNXR85270,-0.11,0.09,-0.03,0.07,0.09,-0.02,-0.02,0.04,0.02,0.07,0.07,-0.08,0.04,-0.01,-0.07,-0.03,0.11,-0.14,0.14,0.07,0.03,-0.01,-0.03,-0.1,0.02,0.1,-0.08,-0.04,0.01,0.11,-0.02,-0.04,-0.02,0.02,-0.03,-0.08,0.01,-0.05,-0.19,-0.07,0.12,0.05,-0.04,0.05,0.07,-0.01,-0.05,-0.02,0,0.09
MNXR85287,-0.14,-0.05,-0.15,-0.09,0.1,0.02,0.02,0.05,-0.2,0.09,0.19,-0.06,-0.13,-0.07,-0.08,0.01,0.03,0.06,0.12,-0.08,0.06,-0.04,0.02,0.14,-0.04,0.02,0.09,-0.11,-0.02,-0.02,0.04,0.03,-0.08,-0.17,0.08,0.09,-0.06,-0.1,-0.13,-0.08,-0.12,0.06,-0.02,-0.17,-0.15,-0.06,-0.01,0.13,-0.04,-0.19
MNXR85310,-0.11,0.09,-0.03,0.07,0.09,-0.02,-0.02,0.04,0.02,0.07,0.07,-0.08,0.04,-0.01,-0.07,-0.03,0.11,-0.14,0.14,0.07,0.03,-0.01,-0.03,-0.1,0.02,0.1,-0.08,-0.04,0.01,0.11,-0.02,-0.04,-0.02,0.02,-0.03,-0.08,0.01,-0.05,-0.19,-0.07,0.12,0.05,-0.04,0.05,0.07,-0.01,-0.05,-0.02,0,0.09
MNXR85460,-0.21,-0.2,0.02,0.03,-0.18,-0.02,-0.1,0.18,-0.01,0.15,0.08,0.14,-0.08,-0.07,0.02,0.05,0.06,0.04,-0.13,0.04,-0.01,-0.02,0.05,-0.05,-0.02,-0.06,-0.04,0.07,-0.09,0.11,0.02,0.03,0.08,0.05,-0.06,-0.09,-0.08,0.03,0.06,-0.05,-0.01,0,-0.03,-0.11,0.02,-0.02,0.02,0.07,0,0.15
MNXR8605,-0.1,0.05,-0.01,0.03,0.01,-0.14,0.11,0,0.08,-0.12,-0.1,0.15,-0.03,0.07,0.13,0.14,-0.06,0,0.29,0.03,-0.17,-0.08,-0.07,0.06,-0.03,-0.03,-0.05,0.01,-0.11,-0.06,0.14,0.06,-0.02,-0.19,-0.03,0,0.09,0.11,-0.07,-0.11,-0.11,-0.09,0.01,-0.02,0,-0.09,-0.07,0.17,0.04,0.15
