Reaction,Flux
EX_acald_e,0.0
ORPT,-0.35908
LPLIPAL1A140pp,-1000.0
EX_ac_e,0.0
GLYAMDTRc,0.0
CYSS,0.0
TRPt2m,0.08189
IDPh,5.49673
GLYALDDr,-15.28744
MNXR8129,0.0
rxn05392_c0,-0.14779
2DHPFALDL,0.0
EX_k_e,-0.00537
IMPD,0.0
MNXR15867,-0.00537
MNXR27650,0.14779
MNXR94066,0.0
MNXR27651,-0.14779
MNXR94063,0.0
MNXR94061,0.0
HXPRT,0.0
DALAt2pp,0.0
EX_ocdca_e,-0.14779
P5CRx,0.31984
DAPDC,0.04339
MNXR27698,0.0
DAPDA,0.0
MNXR27696,0.0
MNXR27694,0.0
MNXR27692,0.0
MNXR27690,0.0
DHRT_ivcoa,0.0
ASPCT,0.35908
XAND,0.0
MNXR40622,-9.57201
GLUFT,0.0
10FTHFGLULL,0.0
EX_salcn_e,0.0
FUM,987.09025
MNXR2772,0.0
MNXR3312,-1000.0
DAPE,0.0
MNXR93869,0.0
MNXR93864,0.0
MNXR93865,0.0
MNXR60025,-0.00537
EX_q8h2_e,0.0
UAMAS,-0.04339
MNXR8994,999.98926
DINSt2,0.0
MNXR31648,-0.00537
DSERt2,0.0
ACPS1,0.00537
LPLIPAL1A141pp,0.0
GCCc,0.0
GCCb,0.0
GCCa,0.0
MNXR57329,0.0
ACACT5m,0.0
NAPRT,-0.00537
MNXR94248,1000.0
DMTPHT,0.0
MNXR8903,0.0
5FLURAPRT,0.0
FRD3,-0.01074
MNXR94247,1000.0
MNXR94246,0.0
MNXR94245,1000.0
FRD7,14.118
PLIPA1A180pp,0.01847
HSPMS,0.0
EX_akg_e,0.0
SUCBZL,0.0
ADNt2,0.0
PGSA120,0.0
MNXR60681,0.0
MNXR60682,0.0
MNXR60684,0.0
MNXR60685,0.0
MNXR60686,0.0
MNXR60687,0.0
MNXR60688,0.0
MNXR60689,0.0
ALCD19,-15.28744
MNXR12173,0.0
THD2,-668.19534
TDPDRE,-0.04339
MNXR70220,0.0
IGPDH,0.13751
TDPDRR,0.04339
PSSA120,0.0
MNXR15262,1000.0
MNXR7613,0.0
PGAMT,0.0
FPGFTh,0.0
EX_xyl__D_e,0.0
CYTD,0.0
NDPK8,-1000.0
NDPK9,-997.91953
NDPK2,-0.67841
NDPK3,0.79966
NDPK6,-0.0
NDPK7,-0.02779
NDPK4,-999.92344
NFORGLUAH,0.0
CA2t3pp,-0.00537
SO4t2,0.38069
EX_o2_e,-0.02955
EX_pro__L_e,0.0
MAN1PT2,0.0
SHCHD2,-0.00537
MCS,-0.53102
MOAT2,0.04339
MNXR55674,0.04339
IPDPS,0.0
EX_mal__L_e,0.0
GLNSP2,0.0
GLNSP3,0.0
GLNSP1,0.0
EX_cit_e,0.0
MNXR80308,0.14779
GAPD,-1000.0
MNXR80306,0.0
rxn06723_c0,-0.08678
EAR40y,0.0
MPPM,0.0
EX_cytd_e,0.0
UGAH,0.0
AOXHEXCYCL,0.0
APPAT,-0.01074
MNXR27735,0.0
MNXR27737,0.0
FDH,0.0
CYSS_trdrd,0.0
rxn05371_c0,-0.14779
IDS1,0.48226
MNXR8221,0.0
MALT,1000.0
MALS,0.0
ACACT6m,0.0
MNXR71594,0.0
MNXR27648,0.14779
ACACT2,0.0
MNXR27640,0.14779
MNXR27643,0.14779
MNXR27642,-0.14779
MNXR27644,0.14779
MNXR27647,-0.14779
MNXR27646,0.14779
AACOAT,0.0
EX_glc__D_e,-10.0
DMPPS_syn,0.0
ECOAH6,0.0
ECOAH7,0.0
ECOAH4,0.0
ECOAH5,0.0
ECOAH3,0.0
ECOAH1,0.0
OP4ENH,0.0
FA80ACPHi,0.0
G3PAT120,0.0
ARBTptspp,0.0
MNXR94492,0.0
PNTK,-0.01074
rxn05417_c0,0.0
MNXR70083,0.0
MNXR85795,0.0
CPPPGO,-0.00537
A5PISO,-0.13017
MNXR85555,0.0
MNXR5765,0.0
MNXR84532,0.0
MNXR73713,0.0
MNXR94258,-1000.0
MNXR94259,-1000.0
MNXR94254,1000.0
MNXR94255,-1000.0
MNXR94256,-1000.0
ARGSS,0.0
MNXR94250,-1000.0
MNXR94251,0.0
PFK_adp,-987.94552
MNXR94253,1000.0
MNXR93704,-999.34874
MNXR93703,0.0
GLUFORT,0.0
SHSL4h,0.0
rxn05375_c0,-0.14779
ASNN,0.0
MNXR85314,0.0
MNXR85310,-1000.0
LYSRC,0.0
MNXR71295,0.0
DHORTS,0.35908
IBPHn,0.0
MNXR14387,0.0
MNXR85179,0.0
PPS,-9.0802
GAM,0.0
PTE5x,0.0
GPDDA4,0.05542
GMP5N,0.0
GPDDA1,0.0
GPDDA2,0.0
MNXR6532,0.0
MNXR6539,0.0
EX_ala__D_e,0.0
MNXR78083,0.0
MNXR84520,0.0
MTI,-1000.0
TPI,7.20623
MNXR2832,0.0
SDPTA,0.0
MNXR72719,-0.0
MNXR7136,0.0
BPNT,-0.00537
MNXR7133,0.0
MNXR69749,-1000.0
MNXR6332,0.0
FMNRx,0.0
L_LACD2,13.75892
EX_ins_e,0.0
L_LACD3,0.0
HKt,0.0
PROAKGOX1,0.0
EX_uri_e,0.0
DLDLBT,-0.02149
FLVRx,0.0
GAMpts,0.0
METabc,0.0
EX_adn_e,0.0
EX_cl_e,-0.00537
NADS1,0.0
MNXR32524,0.20936
PRAI,0.0
PLIPA1A141pp,0.0
PSD180,-0.01847
GLUR,-0.04339
XPPT,0.0
SULabc,0.0
ICH,-0.67825
ARGN,0.0
PSD181,0.0
AGMHE,0.17356
MNXR80794,0.00537
MNXR63973,0.0
MNXR63972,0.0
MNXR63971,0.0
OCDCAt2,0.14779
4ABUTD,0.0
MNXR63975,0.0
ETHAt2pp,0.0
SHKK,-0.49355
CITt2r,0.0
BDH,0.0
MNXR59771,0.0
ETHAAL,0.0
MNXR80878,0.0
ACACT10m,-0.0
MNXR79878,-0.54074
G6PI,-990.21695
MNXR8219,0.0
34HPPOR,0.0
MNXR79615,0.0
MNXR27659,-0.14779
MNXR79613,0.0
MNXR27652,0.14779
PSD160,0.0
PSD161,0.0
MNXR27656,0.14779
MALTabc,0.0
MNXR27654,0.14779
MNXR27655,-0.14779
ALAR,999.91322
MNXR17657,0.0
MNXR17653,0.0
MNXR93844,-500.0
MNXR93845,500.0
MNXR93840,0.0
ASPt2_2,0.0
PDHbr,1.84037
PLIPA2A140pp,-1000.0
MI1PP,0.0
TALA,979.18069
MNXR73934,0.0
DGSNt2,0.0
ACACT7m,0.0
MNXR15065,0.0
MNXR5887,0.0
EX_mqn7_e,-0.01074
34DHOXPEGOX,0.0
GLUK_syn,0.0
MNXR5404,6.51146
MOAT,-0.04339
FPGS_tm,0.0
MNXR93715,-1000.0
MNXR93716,0.0
CYTBD2pp,0.0
ASAD,993.4586
MANAO,0.0
ACOA40OR,0.0
KARI,0.56728
RZ5PP,0.00537
MNXR60319,0.0
MNXR85308,0.0
ADMDC,0.0
UDPGD,0.0
MNXR85306,0.0
LTDCL,0.0
rxn06181_c0,0.0
MNXR93624,-1000.0
MNXR93625,0.0
EX_lys__L_e,-0.5386
MTAP,0.0
3HAO,0.0
EX_hdca_e,0.0
COBALT2tex,0.00537
GF6PTA,-0.17356
3HBCOAHL,0.0
CDPMEK,-0.53102
FOLR2,0.0
