Reaction,Flux
MNXR93881,0.0
MNXR79704,-0.56728
HPPK2,0.0
rxn05404_c0,-0.14779
MNXR75248,0.0
DTMPK,-0.02779
PFK_3,979.5318
PFK_2,0.0
ALDD22x,0.0
ZN2t4pp,-0.00537
ANS2,0.0
EX_tsul_e,0.0
MNXR84761,0.0
MNXR4403,0.0
MNXR4402,-0.20936
MECDPDH2,0.53102
MNXR93774,0.0
MNXR93771,0.0
MNXR84580,0.0
PGSA161,0.0
PGSA160,0.0
MNXR93778,0.0
DMORh,1000.0
UPPDC1,-0.00537
UPPDC2,0.0
DAGK160,0.0
DHQTi,-0.49355
MNXR85368,-1000.0
MNXR85362,0.0
MNXR85363,0.00537
THRA,0.0
RBFSb,0.01074
GPAR,-0.28957
THRS,993.2315
5HXKYNDCL,0.0
ASNS1,-0.34842
rxn03893_c0,-0.00537
ARD_1,0.0
PRADPh,-0.13751
R01465m,-992.29803
EX_no2_e,0.0
EX_ca2_e,-0.00537
PSCIT,0.49355
KDOCT,-0.13017
rxn02362_c0,0.0
DDGLCNt2r,0.0
MNXR70375,0.0
PGSA181,0.0
PGSA180,0.0
rxn06453_c0,0.0
MNXR6494,-1000.0
MNXR6493,0.0
GLYt2m,0.0
MOD_3mhtpp,-0.0
MNXR73710,0.0
DMPPS,0.04876
PSP,997.2109
MNXR69337,1000.0
MOD,0.0
MNXR7212,0.0
UAGCVT,-0.04339
HADPCOADH3,0.0
MNXR80879,0.0
CTPS2,0.0
CTPS1,0.17371
MNXR80876,0.0
EX_gln__L_e,0.0
ACGApts,0.0
rxn05359_c0,-0.14779
MNXR33771,0.0
CS,-987.53548
ABUTD,0.0
MNXR14507,0.0
EX_duri_e,0.0
GALh,-1000.0
TDSK,0.04339
MNXR80058,-0.14779
NH4t,-6.4308
DURIK1,0.0
MNXR8269,0.0
MNXR71393,0.0
PYDAMK,0.0
ATGDm,1.32072
GLCabcpp,0.0
MNXR27605,0.0
MNXR27604,0.0
MNXR27606,0.0
MNXR27601,0.0
MNXR27603,0.0
MNXR27602,-0.0
MG2abc,0.0
MNXR63967,0.0
MNXR28718,0.0
MNXR6969,0.0
MNXR28716,-0.05542
MNXR28717,-0.05542
MNXR28714,0.0
MNXR28715,0.0
MNXR28712,0.0
MNXR28713,0.0
MNXR28710,0.0
MNXR28711,0.0
MIHKPP,0.0
X5PL3E,0.0
AGPAT140,0.0
AGPAT141,0.0
MNXR75271,0.0
MNXR84576,0.0
MNXR93966,0.0
EX_so4_e,-0.38069
GLYCOR_nadp,0.0
KYN3OX,0.0
RBFK,-0.00537
Kt1,0.01074
EX_thymd_e,0.0
DDPGA,0.0
HMGL,0.14779
SUCLm,-4.99503
MNXR85427,0.0
MNXR85428,0.0
PHYCBOXL,0.0
MNXR85051,0.0
HEXTT,0.00537
PROD2,1000.0
HXANt2pp,0.0
PDHam2hi,-1.84037
MNXR53368,0.0
MNXR53365,0.0
MNXR53364,-0.0
MNXR53366,-0.26034
MNXR53361,0.14779
MNXR53360,-0.0
MNXR53363,0.14779
MNXR53362,0.0
MNXR93748,1000.0
MNXR85731,0.0
MNXR85739,0.0
MNXR93746,-0.28957
APATr,-0.01074
EX_rna_c0,-1.73489
EX_4hbz_e,-0.00537
ALCD2ir,0.0
MATm,-0.02686
XYLK,0.0
PAPPT3,0.04339
PAPPT2,0.0
MNXR3279,-1000.0
MNXR74722,0.0
GCC2cm,1.69259
ADOCBLS,0.00537
MNXR3277,1000.0
rxn05347_c0,0.0
DDGALK,0.0
3OAR80,0.0
EX_metox__R_e,0.0
MNXR14768,-0.22709
DCYTD,0.0
MNXR14762,0.0
NO2t2r,0.0
BTND1,0.0
MNXR80464,0.0
SULR,0.37532
TMPPP,0.0
ADA,0.28957
GALCTND,0.0
ATPS4r,336.04246
EDTXS1,-0.04339
EDTXS2,0.04339
OPHBDC,-0.00537
MNXR17999,0.0
ACAS_2ahbut,-0.56728
UAGDP,-0.17356
PDX5POi,0.0
MNXR14578,1.74078
MOHMT,0.01074
MNXR79601,0.0
G6PBDH,0.0
OXAMTC,0.0
HIBDkt,0.0
SPODM,0.0
TPRDCOAS,0.0
NTD6,0.0
NEOXANS,0.0
NTD4,0.0
NTD5,256.77204
NTD2,0.0
NTD3,0.0
NTD1,0.0
MNXR8252,0.0
EX_mn2_e,-0.00537
MNXR94257,0.0
FE3abc,0.0
MNXR15972,0.0
MNXR15973,0.0
EX_met__L_e,0.0
G6PDH2r,0.0
MNXR94198,1000.0
MNXR94192,-0.04339
MNXR94190,0.0
MNXR94197,1000.0
MNXR94196,1000.0
MNXR94195,0.0
MNXR94194,1000.0
MNXR71500,0.0
MNXR28723,0.05542
MNXR28722,0.05542
MNXR28721,0.0
MNXR28720,0.0
MNXR4335,1000.0
MNXR8328,0.0
