ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
MNXR79647	1 MNXM1014_c + 1 h_c + 1 glu__L_c --> 1 co2_c + 1 h2o_c + 1 MNXM8633_c	(1185660.4.peg.2166 or 1185660.4.peg.302 or 1185660.4.peg.3279)	0	1000
MNXR79704	1 MNXM114147_c + 1 h2o_c <-- 1 23dhmp_c	1185660.4.peg.392	-1000	0
MNXR79735	1 MNXM1937_c + 1 h_c + 1 pi_c <==> 1 g3p_c + 1 arg__L_c	1185660.4.peg.2692	-1000	1000
MNXR79878	1 h_c + 1 5aizc_c + 1 adp_c + 1 pi_c <-- 1 air_c + 1 atp_c + 1 hco3_c	(1185660.4.peg.2586 and 1185660.4.peg.2585)	-1000	0
MNXR79883	1 nadh_c + 1 ppi_c + 1 co2_c + 1 h_c + 1 MNXM715_c --> 1 hepdp_c + 1 dhna_c + 1 nad_c	Unknown	0	1000
MNXR80058	1 dhlam_c + 1 2mbcoa_c <==> 1 coa_c + 1 h_c + 1 MNXM5588_c	1185660.4.peg.412	-1000	1000
MNXR80306	1 lpam_c + 1 2mhop_c <==> 1 h_c + 1 thmpp_c + 1 MNXM5034_c	(1185660.4.peg.414 and 1185660.4.peg.415)	-1000	1000
MNXR80308	1 MNXM114147_c + 1 h_c + 1 thmpp_c --> 1 co2_c + 1 2mhob_c	(1185660.4.peg.415 and 1185660.4.peg.414)	0	1000
MNXR80309	1 lpam_c + 1 2mhob_c <==> 1 h_c + 1 thmpp_c + 1 MNXM5588_c	(1185660.4.peg.415 and 1185660.4.peg.414)	-1000	1000
MNXR80323	2 h_c + 1 codscl5b_c + 1 acald_c <==> 1 h2o_c + 1 copre5_c	1185660.4.peg.1458	-1000	1000
MNXR80370	1 ppi_c + 1 amp_c + 1 hdcoa_c <-- 1 coa_c + 3 h_c + 1 atp_c + 1 MNXM56352_c	(1185660.4.peg.1922 or 1185660.4.peg.3392)	-1000	0
MNXR80378	1 adpglc_c + 1 glycogen_c <==> 1 adp_c + 1 glycogen_c	1185660.4.peg.393	-1000	1000
MNXR80380	1 h_c + 1 MNXM56352_c + 1 glyc3p_c <-- 1 h2o_c + 1 1hdec9eg3p_c	1185660.4.peg.477	-1000	0
MNXR80382	1 MNXM114214_c + 1 h_c + 1 h2o_c --> 1 ocdca_c + 1 g3pe_c	1185660.4.peg.477	0	1000
MNXR80383	1 MNXM114214_c + 1 h2o_c <==> 1 g3pe_c + 1 MNXM65309_c	1185660.4.peg.477	-1000	1000
MNXR80385	1 h_c + 1 MNXM56352_c + 1 glyc3p_c <-- 1 h2o_c + 1 2hdec9eg3p_c	1185660.4.peg.477	-1000	0
MNXR80400	1 h2o_c + 1 pa161_c <-- 1 2hdec9eg3p_c + 1 MNXM56352_c	1185660.4.peg.1329	-1000	0
