Reaction	Void	rpfCGH
KYN3OX	-1	-1
L_LACD2	0	0
L_LACD3	0	0
L_LACDcm	0	0
LCADi	0	0
LDH_L	0	0
LPLIPAL1A120pp	-1	-1
LPLIPAL1A140pp	-1	-1
LPLIPAL1A141pp	-1	-1
LPLIPAL1A160pp	-1	-1
LPLIPAL1A180pp	-1	-1
LPLIPAL2A120	-1	-1
LPLIPAL2A140	-1	-1
LPLIPAL2A141	-1	-1
LPLIPAL2A160	-1	-1
LPLIPAL2A180	-1	-1
LPLIPAL2E160	-1	-1
LPLIPAL2E180	-1	-1
LTDCL	-1	-1
LYSRC	0	0
LYSt2m	-1	-1
MALS	-1	-1
MALT	0	0
MALt2_2	0	-1
MALTabc	0	0
MALTpts	-1	-1
MAN1PT2	1	-1
MAN6PI	1	-1
MANAO	-1	-1
MANpts	-1	-1
MATm	1	1
MCCC	-1	-1
MCITD	-1	-1
MCITL2	0	-1
MCITS	0	-1
MCLOR	0	0
MCOATA	1	1
MCPST	-1	-1
MCS	-1	-1
MCSNAH	0	0
MDH	1	1
MDHC_nadp_hr	0	0
MECDPDH2	-1	-1
METabc	-1	-1
METDabc	-1	-1
METSOX1abcpp	-1	-1
METSOXR1	0	0
MG2abc	-1	-1
MG2t	0	0
MGC	0	0
MI1PP	1	-1
MI3PP	1	-1
MI4PP	1	-1
MICITDr	0	0
MIHKPP	0	0
MMSAD3	0	-1
MMSDH	0	-1
MN2t3pp	-1	-1
MNXR10704	0	0
MNXR10705	1	1
MNXR12173	0	0
MNXR14387	1	1
MNXR14507	0	0
MNXR14578	0	0
MNXR14719	0	0
MNXR14762	0	0
MNXR14768	-1	-1
MNXR15065	-1	-1
MNXR15262	0	-1
MNXR15436	0	0
MNXR15510	0	0
MNXR15609	-1	0
MNXR15641	-1	-1
MNXR15642	-1	1
MNXR15797	0	0
MNXR15867	0	0
MNXR1587	0	0
MNXR15972	0	0
MNXR15973	0	0
MNXR160	0	-1
MNXR16018	0	0
MNXR16204	0	0
MNXR16236	-1	-1
MNXR16239	0	0
MNXR16307	-1	-1
MNXR16994	0	0
MNXR16995	0	0
MNXR17004	0	0
MNXR17026	0	0
MNXR17153	0	0
MNXR17265	-1	-1
MNXR17268	0	0
MNXR17296	0	0
MNXR17297	0	0
MNXR17649	0	0
MNXR17653	0	0
MNXR17657	0	0
MNXR17827	0	0
MNXR17833	0	0
MNXR17835	0	0
MNXR17903	1	1
MNXR17904	1	1
MNXR17916	0	0
MNXR17974	0	0
MNXR17999	0	0
MNXR18003	0	0
MNXR18214	0	0
MNXR1991	1	1
MNXR20056	0	-1
MNXR2062	0	0
MNXR22677	0	0
MNXR2293	0	0
MNXR27601	0	0
MNXR27602	0	0
MNXR27603	0	0
MNXR27604	0	0
MNXR27605	0	0
MNXR27606	0	0
MNXR27634	1	1
MNXR27635	-1	-1
MNXR27636	-1	-1
MNXR27638	1	1
MNXR27639	-1	-1
MNXR27640	-1	-1
MNXR27642	1	1
