GenID	DOWN
1185660.4.peg.1437	0
1185660.4.peg.144	-1
1185660.4.peg.1440	-1
1185660.4.peg.1448	-1
1185660.4.peg.145	0
1185660.4.peg.1451	0
1185660.4.peg.1452	0
1185660.4.peg.1457	-1
1185660.4.peg.1458	0
1185660.4.peg.1461	0
1185660.4.peg.1462	0
1185660.4.peg.147	-1
1185660.4.peg.1480	1
1185660.4.peg.1482	-1
1185660.4.peg.1483	-1
1185660.4.peg.1484	-1
1185660.4.peg.1485	0
1185660.4.peg.1488	0
1185660.4.peg.1489	-1
1185660.4.peg.149	-1
1185660.4.peg.1492	0
1185660.4.peg.1493	1
1185660.4.peg.1496	0
1185660.4.peg.1497	0
1185660.4.peg.1498	0
1185660.4.peg.1499	0
1185660.4.peg.1500	0
1185660.4.peg.1509	0
1185660.4.peg.1510	0
1185660.4.peg.1511	0
1185660.4.peg.1515	0
1185660.4.peg.1529	-1
1185660.4.peg.1531	-1
1185660.4.peg.1536	-1
1185660.4.peg.1537	-1
1185660.4.peg.1538	-1
1185660.4.peg.1539	-1
1185660.4.peg.1540	-1
1185660.4.peg.1542	0
1185660.4.peg.1548	0
1185660.4.peg.1556	0
1185660.4.peg.1567	0
1185660.4.peg.1568	0
1185660.4.peg.1581	0
1185660.4.peg.1583	0
1185660.4.peg.159	0
1185660.4.peg.160	0
1185660.4.peg.162	0
1185660.4.peg.1624	0
1185660.4.peg.1625	0
1185660.4.peg.1633	-1
1185660.4.peg.1647	1
1185660.4.peg.1648	0
1185660.4.peg.1650	0
1185660.4.peg.1651	0
1185660.4.peg.1653	0
1185660.4.peg.1657	0
1185660.4.peg.1659	1
1185660.4.peg.1664	1
1185660.4.peg.1672	1
1185660.4.peg.1684	-1
1185660.4.peg.17	0
1185660.4.peg.1705	-1
1185660.4.peg.1747	-1
1185660.4.peg.1751	0
1185660.4.peg.1754	1
1185660.4.peg.1757	1
1185660.4.peg.1759	1
1185660.4.peg.176	0
1185660.4.peg.1761	1
1185660.4.peg.1767	1
1185660.4.peg.1775	0
1185660.4.peg.1776	0
1185660.4.peg.1786	1
1185660.4.peg.1793	0
1185660.4.peg.180	0
1185660.4.peg.1803	-1
1185660.4.peg.1804	-1
1185660.4.peg.1805	-1
1185660.4.peg.1806	-1
1185660.4.peg.181	0
1185660.4.peg.1812	-1
1185660.4.peg.1813	0
1185660.4.peg.1815	0
1185660.4.peg.1816	-1
1185660.4.peg.1817	0
1185660.4.peg.182	0
1185660.4.peg.1822	0
1185660.4.peg.1823	-1
1185660.4.peg.1825	0
1185660.4.peg.1826	0
1185660.4.peg.1827	0
1185660.4.peg.1828	1
1185660.4.peg.1829	0
1185660.4.peg.1833	0
1185660.4.peg.1837	1
1185660.4.peg.184	0
1185660.4.peg.1846	-1
1185660.4.peg.1848	0
1185660.4.peg.1853	0
1185660.4.peg.1860	-1
1185660.4.peg.1861	-1
1185660.4.peg.1865	0
1185660.4.peg.1870	0
1185660.4.peg.1872	-1
1185660.4.peg.1873	-1
1185660.4.peg.1874	-1
1185660.4.peg.1875	0
1185660.4.peg.1876	-1
1185660.4.peg.1877	-1
1185660.4.peg.1878	-1
1185660.4.peg.1879	-1
1185660.4.peg.188	-1
1185660.4.peg.1883	0
1185660.4.peg.1884	1
1185660.4.peg.1885	0
1185660.4.peg.1888	0
1185660.4.peg.1889	0
1185660.4.peg.1896	0
1185660.4.peg.1897	0
1185660.4.peg.1900	0
1185660.4.peg.1902	0
1185660.4.peg.1905	0
1185660.4.peg.1908	1
1185660.4.peg.1910	0
1185660.4.peg.1917	1
